tab_id,col_id,row_id,label,context,entity
AWP193T195U1O0,1,2,Japan,['Japan'],http://www.wikidata.org/entity/Q17
PFPX10U29,1,1,Fritillaria thunbergii,['Fritillaria thunbergii'],http://www.wikidata.org/entity/Q11148917
PFPX10U41,1,1,Sassafras albidum,['Sassafras albidum'],http://www.wikidata.org/entity/Q584469
PFPX10U44,1,1,grinding,['grinding'],http://www.wikidata.org/entity/Q3680646
PFPX10U44,1,2,Reynoutria japonica seed,['Reynoutria japonica seed'],http://www.wikidata.org/entity/Q112605150
PFPX10U44,1,3,"thickener, flavoring","['thickener, flavoring']","http://www.wikidata.org/entity/Q911138,http://www.wikidata.org/entity/Q4173974"
PFPX10U44,1,4,Reynoutria japonica,['Reynoutria japonica'],http://www.wikidata.org/entity/Q18421053
PFPX10U61,1,1,Premna mollissima,['Premna mollissima'],http://www.wikidata.org/entity/Q15354606
PFPX10U61,1,2,Premna mollissima,['Premna mollissima'],http://www.wikidata.org/entity/Q15354606
YRZD14B03,1,1,Abitibi-Témiscamingue,['Abitibi-Témiscamingue'],http://www.wikidata.org/entity/Q321529
YRZD14B03,1,2,Canada,['Canada'],http://www.wikidata.org/entity/Q16
YRZD14B19,1,1,cow's milk,"[""cow's milk""]",http://www.wikidata.org/entity/Q10988133
YRZD14B19,1,2,France,['France'],http://www.wikidata.org/entity/Q142
YRZD14B32,1,1,Tronchón,['Tronchón'],http://www.wikidata.org/entity/Q1768483
YRZD14B32,1,3,Spain,['Spain'],http://www.wikidata.org/entity/Q29
LATW17E03,1,1,Allium tricoccum,['Allium tricoccum'],http://www.wikidata.org/entity/Q2714893
LATW17E08,1,2,India,['India'],http://www.wikidata.org/entity/Q668
LATW17E12,1,2,species,['species'],http://www.wikidata.org/entity/Q7432
LATW17E12,1,3,brown bear,['brown bear'],http://www.wikidata.org/entity/Q36341
LATW17E12,1,6,Allium,['Allium'],http://www.wikidata.org/entity/Q49391
LATW17E12,1,10,edible plant,['edible plant'],http://www.wikidata.org/entity/Q9323487
LATW17E12,1,14,basionym,['basionym'],http://www.wikidata.org/entity/Q810198
LATW17E12,1,15,"Ottův slovník naučný, Flora URSS, Encyclopedia of Armenian Nature, Q19133013","['Ottův slovník naučný, Flora URSS, Encyclopedia of Armenian Nature, Q19133013']","http://www.wikidata.org/entity/Q2041543,http://www.wikidata.org/entity/Q5862833,http://www.wikidata.org/entity/Q16387823,http://www.wikidata.org/entity/Q19133013"
LATW17E12,1,16,capsule,['capsule'],http://www.wikidata.org/entity/Q147768
LATW17E12,1,19,Category:Allium ursinum,['Category:Allium ursinum'],http://www.wikidata.org/entity/Q55249357
LATW17E12,1,21,WikiProject Invasion Biology,['WikiProject Invasion Biology'],http://www.wikidata.org/entity/Q56241615
WXFE22C3,1,3,France,['France'],http://www.wikidata.org/entity/Q142
WXFE22C3,1,4,lobster,['lobster'],http://www.wikidata.org/entity/Q61864890
WXFE22C6,1,2,Portugal,['Portugal'],http://www.wikidata.org/entity/Q45
WBKD35R01,1,2,People's Republic of China,"[""People's Republic of China""]",http://www.wikidata.org/entity/Q148
WBKD35R03,1,2,Japan,['Japan'],http://www.wikidata.org/entity/Q17
AVMN45V07,1,1,Finland,['Finland'],http://www.wikidata.org/entity/Q33
AVMN45V07,1,4,Finland,['Finland'],http://www.wikidata.org/entity/Q33
AVMN45V07,1,5,Alko,['Alko'],http://www.wikidata.org/entity/Q1849187
AVMN45V07,1,6,"vermouth, gin","['vermouth, gin']","http://www.wikidata.org/entity/Q231088,http://www.wikidata.org/entity/Q959362"
AVMN45V07,1,7,red,['red'],http://www.wikidata.org/entity/Q3142
AVMN45V10,1,1,"whisky, brandy, carbonated water, Selters, Q12646666","['whisky, brandy, carbonated water, Selters, Q12646666']","http://www.wikidata.org/entity/Q281,http://www.wikidata.org/entity/Q146470,http://www.wikidata.org/entity/Q264554,http://www.wikidata.org/entity/Q837845,http://www.wikidata.org/entity/Q12646666"
AVMN45V10,1,2,Norway,['Norway'],http://www.wikidata.org/entity/Q20
AVMN45V27,1,2,Netherlands,['Netherlands'],http://www.wikidata.org/entity/Q55
AVMN45V34,1,2,ginseng,['ginseng'],http://www.wikidata.org/entity/Q20817212
AVMN45V38,1,1,Category:Horilkas,['Category:Horilkas'],http://www.wikidata.org/entity/Q25215983
AVMN45V38,1,3,Ukraine,['Ukraine'],http://www.wikidata.org/entity/Q212
AVMN45V41,1,2,India,['India'],http://www.wikidata.org/entity/Q668
AVMN45V41,1,3,India,['India'],http://www.wikidata.org/entity/Q668
AVMN45V48,1,1,raspberry,['raspberry'],http://www.wikidata.org/entity/Q13179
AVMN45V48,1,2,Romania,['Romania'],http://www.wikidata.org/entity/Q218
AVMN45V48,1,3,Romania,['Romania'],http://www.wikidata.org/entity/Q218
AVMN45V52,1,1,Peruvian cuisine,['Peruvian cuisine'],http://www.wikidata.org/entity/Q749847
AVMN45V52,1,2,Peru,['Peru'],http://www.wikidata.org/entity/Q419
AVMN45V55,1,1,Austria,['Austria'],http://www.wikidata.org/entity/Q40
AVMN45V55,1,2,"white wine, sugar, egg","['white wine, sugar, egg']","http://www.wikidata.org/entity/Q10210,http://www.wikidata.org/entity/Q11002,http://www.wikidata.org/entity/Q93189"
AVMN45V59,1,2,Germany,['Germany'],http://www.wikidata.org/entity/Q183
AVMN45V59,1,3,"sugar, rum, Stroh, arrack, fruit","['sugar, rum, Stroh, arrack, fruit']","http://www.wikidata.org/entity/Q11002,http://www.wikidata.org/entity/Q83376,http://www.wikidata.org/entity/Q872435,http://www.wikidata.org/entity/Q1458114,http://www.wikidata.org/entity/Q3314483"
AVMN45V61,1,1,Peruvian cuisine,['Peruvian cuisine'],http://www.wikidata.org/entity/Q749847
AVMN45V61,1,3,"Pisco, bitters, ginger ale","['Pisco, bitters, ginger ale']","http://www.wikidata.org/entity/Q388502,http://www.wikidata.org/entity/Q753069,http://www.wikidata.org/entity/Q1162763"
AVMN45V70,1,1,West Africa,['West Africa'],http://www.wikidata.org/entity/Q4412
AVMN45V70,1,2,Raphia,['Raphia'],http://www.wikidata.org/entity/Q133289
VBCG50Y0,1,1,Prodotto agroalimentare tradizionale,['Prodotto agroalimentare tradizionale'],http://www.wikidata.org/entity/Q3406707
VBCG50Y0,1,3,Italy,['Italy'],http://www.wikidata.org/entity/Q38
VBCG50Y5,1,2,Italy,['Italy'],http://www.wikidata.org/entity/Q38
FOBI62T003,1,1,cavity,['cavity'],http://www.wikidata.org/entity/Q28367692
FOBI62T003,1,2,dream,['dream'],http://www.wikidata.org/entity/Q36348
FOBI62T003,1,3,hand,['hand'],http://www.wikidata.org/entity/Q33767
FOBI62T003,1,4,"Greek salad, M&M's, cookie dough","[""Greek salad, M&M's, cookie dough""]","http://www.wikidata.org/entity/Q240801,http://www.wikidata.org/entity/Q739550,http://www.wikidata.org/entity/Q5167099"
FOBI62T007,1,1,Ube Pandesal Recipe,['Ube Pandesal Recipe'],http://www.wikidata.org/entity/Q106164506
FOBI62T007,1,2,Philippines,['Philippines'],http://www.wikidata.org/entity/Q928
FOBI62T007,1,3,"ube halaya, Ube ice cream, Purple Bread","['ube halaya, Ube ice cream, Purple Bread']","http://www.wikidata.org/entity/Q18355913,http://www.wikidata.org/entity/Q64149140,http://www.wikidata.org/entity/Q105288154"
FOBI62T007,1,4,Dioscorea alata,['Dioscorea alata'],http://www.wikidata.org/entity/Q1932852
FOBI62T007,1,5,flavoring,['flavoring'],http://www.wikidata.org/entity/Q4173974
FOBI62T009,1,1,Belgium,['Belgium'],http://www.wikidata.org/entity/Q31
FOBI62T009,1,2,"sponge cake, ganache, buttercream","['sponge cake, ganache, buttercream']","http://www.wikidata.org/entity/Q1049852,http://www.wikidata.org/entity/Q1242466,http://www.wikidata.org/entity/Q1429013"
FOBI62T024,1,3,"Navarre, Basque Country","['Navarre, Basque Country']","http://www.wikidata.org/entity/Q4018,http://www.wikidata.org/entity/Q47588"
FOBI62T024,1,4,sheep milk,['sheep milk'],http://www.wikidata.org/entity/Q2736146
FOBI62T035,1,1,Kurdish cuisine,['Kurdish cuisine'],http://www.wikidata.org/entity/Q3673757
FOBI62T035,1,2,Kurdistan,['Kurdistan'],http://www.wikidata.org/entity/Q41470
FOBI62T035,1,3,"cinnamon, egg, walnut","['cinnamon, egg, walnut']","http://www.wikidata.org/entity/Q28165,http://www.wikidata.org/entity/Q93189,http://www.wikidata.org/entity/Q208021"
FOBI62T047,1,1,Italy,['Italy'],http://www.wikidata.org/entity/Q38
FOBI62T047,1,2,sponge cake,['sponge cake'],http://www.wikidata.org/entity/Q1049852
FOBI62T054,1,2,Italy,['Italy'],http://www.wikidata.org/entity/Q38
FOBI62T059,1,1,milk,['milk'],http://www.wikidata.org/entity/Q8495
FOBI62T059,1,2,Spain,['Spain'],http://www.wikidata.org/entity/Q29
FOBI62T115,1,2,Italy,['Italy'],http://www.wikidata.org/entity/Q38
FOBI62T125,1,2,United States of America,['United States of America'],http://www.wikidata.org/entity/Q30
FOBI62T125,1,4,"batter, fruit","['batter, fruit']","http://www.wikidata.org/entity/Q29493,http://www.wikidata.org/entity/Q3314483"
FOBI62T135,1,1,Argentina,['Argentina'],http://www.wikidata.org/entity/Q414
FOBI62T135,1,2,Argentina,['Argentina'],http://www.wikidata.org/entity/Q414
FOBI62T140,1,2,Turkey,['Turkey'],http://www.wikidata.org/entity/Q43
FOBI62T140,1,3,Turkey,['Turkey'],http://www.wikidata.org/entity/Q43
FOBI62T149,1,1,Switzerland,['Switzerland'],http://www.wikidata.org/entity/Q39
FOBI62T149,1,2,Swiss cuisine,['Swiss cuisine'],http://www.wikidata.org/entity/Q13497
FOBI62T149,1,3,chestnut puree,['chestnut puree'],http://www.wikidata.org/entity/Q67888145
FOBI62T149,1,4,extrusion,['extrusion'],http://www.wikidata.org/entity/Q139143
FOBI62T159,1,1,Mallorca,['Mallorca'],http://www.wikidata.org/entity/Q8828
FOBI62T159,1,2,Spain,['Spain'],http://www.wikidata.org/entity/Q29
FOBI62T159,1,3,Spain,['Spain'],http://www.wikidata.org/entity/Q29
FOBI62T164,1,1,"Argentine cuisine, Uruguayan cuisine","['Argentine cuisine, Uruguayan cuisine']","http://www.wikidata.org/entity/Q579500,http://www.wikidata.org/entity/Q1071405"
FOBI62T164,1,3,"Uruguay, Argentina","['Uruguay, Argentina']","http://www.wikidata.org/entity/Q77,http://www.wikidata.org/entity/Q414"
FOBI62T171,1,1,Bengali cuisine,['Bengali cuisine'],http://www.wikidata.org/entity/Q1572982
FOBI62T171,1,3,"India, Bangladesh","['India, Bangladesh']","http://www.wikidata.org/entity/Q668,http://www.wikidata.org/entity/Q902"
GWQN65F01,1,1,Tōhoku region,['Tōhoku region'],http://www.wikidata.org/entity/Q129465
GWQN65F01,1,2,Japan,['Japan'],http://www.wikidata.org/entity/Q17
GWQN65F12,1,1,Mongolian cuisine,['Mongolian cuisine'],http://www.wikidata.org/entity/Q1156753
GWQN65F12,1,2,yak milk,['yak milk'],http://www.wikidata.org/entity/Q1912004
GWQN65F12,1,3,Mongolia,['Mongolia'],http://www.wikidata.org/entity/Q711
UXAJ83I02,1,1,"rice, green bean, torikatsu","['rice, green bean, torikatsu']","http://www.wikidata.org/entity/Q5090,http://www.wikidata.org/entity/Q2987371,http://www.wikidata.org/entity/Q7825801"
UXAJ83I02,1,3,English,['English'],http://www.wikidata.org/entity/Q1860
UXAJ83I02,1,6,HelloFresh,['HelloFresh'],http://www.wikidata.org/entity/Q23014836
UXAJ83I02,1,8,easy,['easy'],http://www.wikidata.org/entity/Q66741638
UXAJ83I02,1,9,"table salt, butter, sour cream, panko, jasmine rice, green bean, peppercorn, corn starch, vegetable oil, garlic powder, cutlet, sesame seed, ginger, tonkatsu sauce","['table salt, butter, sour cream, panko, jasmine rice, green bean, peppercorn, corn starch, vegetable oil, garlic powder, cutlet, sesame seed, ginger, tonkatsu sauce']","http://www.wikidata.org/entity/Q11254,http://www.wikidata.org/entity/Q34172,http://www.wikidata.org/entity/Q840171,http://www.wikidata.org/entity/Q1820454,http://www.wikidata.org/entity/Q2733021,http://www.wikidata.org/entity/Q2987371,http://www.wikidata.org/entity/Q3143131,http://www.wikidata.org/entity/Q3393961,http://www.wikidata.org/entity/Q4739805,http://www.wikidata.org/entity/Q10716334,http://www.wikidata.org/entity/Q10872500,http://www.wikidata.org/entity/Q12000036,http://www.wikidata.org/entity/Q15046077,http://www.wikidata.org/entity/Q55636014"
UXAJ83I05,1,1,Wiki Loves Cultura Popular Brasil - Culinária,['Wiki Loves Cultura Popular Brasil - Culinária'],http://www.wikidata.org/entity/Q116741808
UXAJ83I05,1,3,Brazil,['Brazil'],http://www.wikidata.org/entity/Q155
UXAJ83I05,1,4,Osvaldo Aranha,['Osvaldo Aranha'],http://www.wikidata.org/entity/Q566312
UXAJ83I22,1,2,Guinea,['Guinea'],http://www.wikidata.org/entity/Q1006
UXAJ83I25,1,2,Guinea,['Guinea'],http://www.wikidata.org/entity/Q1006
UXAJ83I46,1,2,Guinea,['Guinea'],http://www.wikidata.org/entity/Q1006
