col0,col1,col2,col3,col4,col5
2002 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,2001 Scottish Badminton Championships,national championship
1997 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1996 Scottish Badminton Championships,national championship
1996 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1995 Scottish Badminton Championships,national championship
1995 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1994 Scottish Badminton Championships,national championship
1994 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1993 Scottish Badminton Championships,national championship
1993 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1992 Scottish Badminton Championships,national championship
1992 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1991 Scottish Badminton Championships,national championship
1991 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1990 Scottish Badminton Championships,national championship
1990 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1989 Scottish Badminton Championships,national championship
1989 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1988 Scottish Badminton Championships,national championship
1988 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1987 Scottish Badminton Championships,national championship
1987 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1986 Scottish Badminton Championships,national championship
1986 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1985 Scottish Badminton Championships,national championship
1985 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1984 Scottish Badminton Championships,national championship
1984 Scottish Badminton Championships,United Kingdom,WikiProject Badminton/tournament focus list,Scottish Badminton Championships,1983 Scottish Badminton Championships,national championship
