col0,col1,col2,col3,col4,col5,col6
2019 Salford City Council election in Cadishead,8114,United Kingdom,member of Salford City Council,2019 Salford City Council election,Lewis Nelson,Lewis Nelson
2019 Salford City Council election in Broughton,10070,United Kingdom,member of Salford City Council,2019 Salford City Council election,Charlie McIntyre,Charlie McIntyre
2019 Salford City Council election in Boothstown and Ellenbrook,7559,United Kingdom,member of Salford City Council,2019 Salford City Council election,Darren Ward,Darren Ward
2019 Salford City Council election in Barton,9350,United Kingdom,member of Salford City Council,2019 Salford City Council election,Michele Barnes,Michele Barnes
2019 Salford City Council election in Kersal,8519,United Kingdom,member of Salford City Council,2019 Salford City Council election,Arnold Saunders,Arnold Saunders
2019 Salford City Council election in Ordsall,13540,United Kingdom,member of Salford City Council,2019 Salford City Council election,Michael Felse,Ann-Marie Humphreys
2019 Salford City Council election in Irwell Riverside,7635,United Kingdom,member of Salford City Council,2019 Salford City Council election,Wendy Olsen,Ray Walker
2019 Salford City Council election in Irlam,6996,United Kingdom,member of Salford City Council,2019 Salford City Council election,Daniel Towers,Darren Goulden
2019 Salford City Council election in Eccles,9273,United Kingdom,member of Salford City Council,2019 Salford City Council election,Stef Lorenz,Sharmina August
2019 Salford City Council election in Claremont,8251,United Kingdom,member of Salford City Council,2019 Salford City Council election,Jacqueline Mountaine,Michael Pevitt
