col0,col1,col2,col3,col4
HMS Norfolk,County-class heavy cruiser,Royal Navy,United Kingdom,Govan
HMS Cumberland,Kent-class heavy cruiser,Royal Navy,United Kingdom,Barrow-in-Furness
USS Newport News,Des Moines-class cruiser,United States Navy,United States of America,Newport News
USS Houston,Northampton class cruiser,United States Navy,United States of America,Newport News
USS Augusta,Northampton class cruiser,United States Navy,United States of America,Newport News
USS Tuscaloosa,New Orleans class cruiser,United States Navy,United States of America,Camden
USS Salt Lake City,Pensacola class cruiser,United States Navy,United States of America,Camden
USS Fall River,Baltimore class cruiser,United States Navy,United States of America,Camden
USS Chester,Northampton class cruiser,United States Navy,United States of America,Camden
USS Indianapolis,Portland-class cruiser,United States Navy,United States of America,Camden
HMS Frobisher,Hawkins-class cruiser,Royal Navy,United Kingdom,Portsmouth
HMS Devonshire,County-class heavy cruiser,Royal Navy,United Kingdom,Portsmouth
HMS London,County-class heavy cruiser,Royal Navy,United Kingdom,Portsmouth
HMS Dorsetshire,County-class heavy cruiser,Royal Navy,United Kingdom,Portsmouth
HMS Suffolk,County-class heavy cruiser,Royal Navy,United Kingdom,Portsmouth
