col0,col1,col2,col3,col4
Subprefecture of  Vila Mariana,344632,Office of the Subprefect of Vila Mariana,Southeast Region,subprefecture of São Paulo
Subprefecture of  Vila Maria,297713,Office of the Subprefect of Vila Maria,Southeast Region,subprefecture of São Paulo
Subprefecture of  Vila Prudente,246589,Office of the Subprefect of Vila Prudente,Southeast Region,subprefecture of São Paulo
Subprefecture of  Butantã,428217,Office of the Subprefect of Butantã,West Zone of São Paulo,subprefecture of São Paulo
Subprefecture of  São Mateus,426794,Office of the Subprefect of São Mateus,Southeast Region,subprefecture of São Paulo
Subprefecture of  Penha,474659,Office of the Subprefect of Penha,East Zone of São Paulo,subprefecture of São Paulo
Subprefecture of  Perus,146046,Office of the Subprefect of Perus,Southeast Region,subprefecture of São Paulo
Subprefecture of  Guaianases,268508,Office of the Subprefect of Guaianases,São Paulo,subprefecture of São Paulo
Subprefecture of  Pinheiros,289743,Office of the Subprefect of Pinheiros,Southeast Region,subprefecture of São Paulo
Subprefecture of  Jaçanã/Tremembé,291867,Office of the Subprefect of Jaçanã/Tremembé,Southeast Region,subprefecture of São Paulo
Subprefecture of  Pirituba,437592,Office of the Subprefect of Pirituba,Southeast Region,subprefecture of São Paulo
Subprefecture of  Ipiranga,463804,Office of the Subprefect of Ipiranga,Southeast Region,subprefecture of São Paulo
Subprefecture of  M'Boi Mirim,563305,Office of the Subprefect of M'Boi Mirim,Southeast Region,subprefecture of São Paulo
Subprefecture of  Lapa,305526,Office of the Subprefect of Lapa,West Zone of São Paulo,subprefecture of São Paulo
Subprefecture of  Jabaquara,223780,Office of the Subprefect of Jabaquara,Southeast Region,subprefecture of São Paulo
