col0,col1,col2,col3,col4
Featherfin Wildlife Management Area,Farmville,United States of America,wildlife management area,Virginia
Farragut Wildlife Management Area,Bayview,United States of America,wildlife management area,Idaho
Deer Parks Wildlife Management Area,Roberts,United States of America,wildlife management area,Idaho
Deer Creek Marsh Wildlife Management Area,Oswego,United States of America,wildlife management area,New York
Craig Mountain Wildlife Management Area,Lewiston,United States of America,wildlife management area,Idaho
Coeur d'Alene River Wildlife Management Area,St. Maries,United States of America,wildlife management area,Idaho
Cecil D. Andrus Wildlife Management Area,Cambridge,United States of America,wildlife management area,Idaho
Cartier Slough Wildlife Management Area,Rexburg,United States of America,wildlife management area,Idaho
Carey Lake Wildlife Management Area,Carey,United States of America,wildlife management area,Idaho
Camas Prairie Centennial Marsh Wildlife Management Area,Fairfield,United States of America,wildlife management area,Idaho
C.J. Strike Wildlife Management Area,Mountain Home,United States of America,wildlife management area,Idaho
