col0,col1,col2,col3,col4,col5
2015 Hokkaido gubernatorial election,2015-04-12,Harumi Takahashi,Noriyuki Satō,2019 Hokkaido gubernatorial election,Governor of Hokkaidō Prefecture
2015 Osaka gubernatorial election,2015-11-22,Ichirō Matsui,Takako Kurihara,2019 Osaka gubernatorial election,Governor of Osaka
2016 Montana gubernatorial election,2016-11-08,Steve Bullock,Steve Bullock,2020 Montana gubernatorial election,Governor of Montana
2014 Okinawa gubernatorial election,2014-12-09,Takeshi Onaga,Takeshi Onaga,2018 Okinawa gubernatorial election,Governor of the Okinawa Prefecture
2015 Hokkaido gubernatorial election,2015-04-12,Harumi Takahashi,Harumi Takahashi,2019 Hokkaido gubernatorial election,Governor of Hokkaidō Prefecture
2016 Montana gubernatorial election,2016-11-08,Steve Bullock,Gregory Richard Gianforte,2020 Montana gubernatorial election,Governor of Montana
2014 Okinawa gubernatorial election,2014-12-09,Takeshi Onaga,Hirokazu Nakaima,2018 Okinawa gubernatorial election,Governor of the Okinawa Prefecture
2016 North Carolina gubernatorial election,2016-11-08,Roy Cooper,Roy Cooper,2020 North Carolina gubernatorial election,Governor of North Carolina
2014 Ohio gubernatorial election,2014-11-04,John Kasich,Ed FitzGerald,2018 Ohio gubernatorial election,Governor of Ohio
2008 Osaka gubernatorial election,2008-01-27,Tōru Hashimoto,Sadatoshi Kumagai,2011 Osaka gubernatorial election,Governor of Osaka
2010 Okinawa gubernatorial election,2010-11-28,Hirokazu Nakaima,Yōichi Iha,2014 Okinawa gubernatorial election,Governor of the Okinawa Prefecture
