col0,col1,col2,col3,col4
Kherson Oblast,oblast of Ukraine,1944-03-30,Kherson,Dnipropetrovsk Oblast
Cherkasy Oblast,oblast of Ukraine,1954-01-07,Cherkasy,Poltava Oblast
Zhytomyr Oblast,oblast of Ukraine,1937-09-22,Zhytomyr,Vinnytsia Oblast
Donetsk Oblast,oblast of Ukraine,1932-07-02,Kramatorsk,Rostov Oblast
Mykolaiv Oblast,oblast of Ukraine,1937-09-22,Mykolaiv,Kherson Oblast
Kirovohrad Oblast,oblast of Ukraine,1939-01-10,Kropyvnytskyi,Cherkasy Oblast
Ivano-Frankivsk Oblast,oblast of Ukraine,1939-12-04,Ivano-Frankivsk,Lviv Oblast
Rivne Oblast,oblast of Ukraine,1939-12-04,Rivne,Zhytomyr Oblast
Ternopil Oblast,oblast of Ukraine,1939-12-04,Ternopil,Lviv Oblast
Luhansk Oblast,oblast of Ukraine,1938-06-03,Luhansk,Belgorod Oblast
Odessa Oblast,oblast of Ukraine,1932-02-09,Odessa,Cahul District
