col0,col1,col2,col3,col4,col5,col6
Lafia,Lafia,Lafia legislative council,UTC+01:00,Nigeria,Nasarawa State,Chairman of Lafia local government
Ikorodu,Ikorodu,Ikorodu legislative council,UTC+01:00,Nigeria,Lagos,Chairman of Ikorodu local government
Ikeja,Ikeja,Ikeja legislative council,UTC+01:00,Nigeria,Lagos,Chairman of Ikeja local government
Ihiala,Ihiala,Ihiala legislative council,UTC+01:00,Nigeria,Anambra State,Chairman of Ihiala local government
Bauchi,Bauchi,Bauchi legislative council,UTC+01:00,Nigeria,Bauchi State,Chairman of Bauchi local government
Alimosho,Alimosho,Alimosho legislative council,UTC+01:00,Nigeria,Lagos,Chairman of Alimosho local government
Agege,Agege,Agege legislative council,UTC+01:00,Nigeria,Lagos,Chairman of Agege local government
Birnin Kudu,Birnin Kudu,Birnin Kudu legislative council,UTC+01:00,Nigeria,Jigawa State,Chairman of Birnin Kudu local government
Bichi,Bichi,Bichi legislative council,UTC+01:00,Nigeria,Kano State,Chairman of Bichi local government
Aguata,Aguata,Aguata legislative council,UTC+01:00,Nigeria,Anambra State,Chairman of Aguata local government
Lagos Mainland,Lagos Mainland,Lagos Mainland legislative council,UTC+01:00,Nigeria,Lagos,Chairman of Lagos Mainland local government
Kumbotso,Kumbotso,Kumbotso legislative council,UTC+01:00,Nigeria,Kano State,Chairman of Kumbotso local government
Kosofe,Kosofe,Kosofe legislative council,UTC+01:00,Nigeria,Lagos,Chairman of Kosofe local government
Katagum,Katagum,Katagum legislative council,UTC+01:00,Nigeria,Bauchi State,Chairman of Katagum local government
Igabi,Igabi,Igabi legislative council,UTC+01:00,Nigeria,Kaduna State,Chairman of Igabi local government
