col0,col1,col2,col3,col4,col5
SummerSlam,recurrent event edition,WWE Raw,WWE,Hell in a Cell,United States of America
Money in the Bank,recurrent event edition,WWE Raw,WWE,WWE United Kingdom Championship Tournament (2018),United States of America
WWE United Kingdom Championship Tournament,recurrent event edition,WWE NXT,WWE,Extreme Rules (2018),United Kingdom
WrestleMania 35,recurrent event edition,WWE Raw,WWE,Money in the Bank (2019),United States of America
NXT TakeOver: New Orleans,recurrent event edition,WWE NXT,WWE,WrestleMania 34,United States of America
Royal Rumble,recurrent event edition,WWE Raw,WWE,Elimination Chamber (2018),United States of America
NXT TakeOver: Philadelphia,recurrent event edition,WWE NXT,WWE,Royal Rumble,United States of America
Clash of Champions,recurrent event edition,WWE SmackDown,WWE,NXT TakeOver: Philadelphia,United States of America
NXT TakeOver: WarGames,recurrent event edition,WWE NXT,WWE,Survivor Series (2017),United States of America
Hell in a Cell,recurrent event edition,WWE SmackDown,WWE,"TLC: Tables, Ladders & Chairs (2017)",United States of America
No Mercy,recurrent event edition,WWE Raw,WWE,Hell in a Cell (2017),United States of America
Survivor Series,recurrent event edition,WWE Raw,WWE,Clash of Champions (2017),United States of America
Super ShowDown,wrestling event,WWE Raw,WWE,WWE Stomping Grounds,Saudi Arabia
