col0,col1,col2,col3,col4
2001 Bruxelles-Ingooigem,Bert Roesems,2002 Bruxelles-Ingooigem,2000 Bruxelles-Ingooigem,2001-06-16
2000 Bruxelles-Ingooigem,Gert Vanderaerden,2001 Bruxelles-Ingooigem,1999 Bruxelles-Ingooigem,2000-06-14
1999 Bruxelles-Ingooigem,Tom Stremersch,2000 Bruxelles-Ingooigem,1998 Bruxelles-Ingooigem,1999-06-16
1998 Bruxelles-Ingooigem,Sergei Ivanov,1999 Bruxelles-Ingooigem,1997 Bruxelles-Ingooigem,1998-06-17
1997 Bruxelles-Ingooigem,Davy Dubbeldam,1998 Bruxelles-Ingooigem,1996 Bruxelles-Ingooigem,1997-06-11
1996 Bruxelles-Ingooigem,Jans Koerts,1997 Bruxelles-Ingooigem,1995 Bruxelles-Ingooigem,1996-06-12
1995 Bruxelles-Ingooigem,Frank Corvers,1996 Bruxelles-Ingooigem,1994 Bruxelles-Ingooigem,1995-06-14
1994 Bruxelles-Ingooigem,Ludo Dierckxsens,1995 Bruxelles-Ingooigem,1993 Bruxelles-Ingooigem,1994-06-15
1993 Bruxelles-Ingooigem,Johan Devos,1994 Bruxelles-Ingooigem,1992 Bruxelles-Ingooigem,1993-06-16
1992 Bruxelles-Ingooigem,Patrick Evenepoel,1993 Bruxelles-Ingooigem,1991 Bruxelles-Ingooigem,1992-06-17
