col0,col1,col2,col3
Williams Landing,Williams Landing,2013-04-28,808525
Westall,Clayton South,1951-02-06,472518
Ginifer,St Albans,1982-01-01,573925
Keilor Plains,Delahey,2002-01-01,t502857225
Glen Waverley,Glen Waverley,1930-05-05,1691792
Gowrie,Glenroy,1928-10-16,168174
East Malvern,Ashburton,1929-02-03,455567
Ripponlea,St Kilda East,1912-01-01,659004
Roxburgh Park,Somerton,2007-01-01,427300
Ripponlea,Elsternwick,1912-01-01,659004
Roxburgh Park,Campbellfield,2007-01-01,427300
Ripponlea,Elwood,1912-01-01,659004
