col0,col1,col2,col3,col4,col5
1999 Tour de l'Avenir,1999-09-02,Floyd Landis,1999-09-11,road bicycle racing,2000 Tour de l'Avenir
1998 Tour de l'Avenir,1998-09-03,Txema del Olmo,1998-09-12,road bicycle racing,1999 Tour de l'Avenir
1997 Tour de l'Avenir,1997-09-04,Kevin Livingston,1997-09-13,road bicycle racing,1998 Tour de l'Avenir
1984 Tour de l'Avenir,1984-09-04,Jiří Škoda,1984-09-17,road bicycle racing,1985 Tour de l'Avenir
1970 Grand Prix de l'Avenir,1970-09-12,Marcel Duchemin,1970-09-15,road bicycle racing,1971 Tour de l'Avenir
2008 Tour de l'Avenir,2008-09-05,Rui Costa,2008-09-14,road bicycle racing,2009 Tour de l'Avenir
2006 Tour de l'Avenir,2006-08-31,Robert Gesink,2006-09-09,road bicycle racing,2007 Tour de l'Avenir
2005 Tour de l'Avenir,2005-09-01,Christophe Riblon,2005-09-10,road bicycle racing,2006 Tour de l'Avenir
2007 Tour de l'Avenir,2007-09-06,Tony Martin,2007-09-15,road bicycle racing,2008 Tour de l'Avenir
2004 Tour de l'Avenir,2004-09-02,Christophe Le Mével,2004-09-11,road bicycle racing,2005 Tour de l'Avenir
