col0,col1,col2,col3,col4
1993 Benson and Hedges Open,tennis,ASB Tennis Centre,tennis tournament edition,1993 Heineken Open – Singles
2014 Heineken Open,tennis,ASB Tennis Centre,tennis tournament edition,2014 Heineken Open – Singles
2005 Heineken Open,tennis,ASB Tennis Centre,tennis tournament edition,2005 Heineken Open – Doubles
2003 Heineken Open,tennis,ASB Tennis Centre,tennis tournament edition,2003 Heineken Open – Doubles
2002 Heineken Open,tennis,ASB Tennis Centre,tennis tournament edition,2002 Heineken Open – Doubles
2001 Heineken Open,tennis,ASB Tennis Centre,tennis tournament edition,2001 Heineken Open – Doubles
1998 Heineken Open,tennis,ASB Tennis Centre,tennis tournament edition,1998 Heineken Open – Doubles
1996 BellSouth Open,tennis,ASB Tennis Centre,tennis tournament edition,1996 BellSouth Open – Doubles
1995 Heineken Open,tennis,ASB Tennis Centre,tennis tournament edition,1995 Heineken Open – Singles
2013 Heineken Open,tennis,ASB Tennis Centre,tennis tournament edition,2013 Heineken Open – Singles
2008 Heineken Open,tennis,ASB Tennis Centre,tennis tournament edition,2008 Heineken Open – Doubles
1999 Heineken Open,tennis,ASB Tennis Centre,tennis tournament edition,1999 Heineken Open – Singles
