col0,col1,col2,col3,col4
Qishan,Zhonghua,People's Republic of China,Hengnan County,Township-level division similar to townships
Shahe Economic Development Area,Shimen,People's Republic of China,Chaisang District,Township-level division similar to townships
Xingshunde State-owned Farm,Kaoshantun,People's Republic of China,Beipiao,Township-level division similar to townships
Sandaoling Mines,Diyi,People's Republic of China,Yizhou District,Township-level division similar to townships
Zhangjiang Hi-Tech Park,Zhangjiang Hi-Tech Park virtual community,People's Republic of China,Pudong,Township-level division similar to townships
Jinqiao,Jinqiao virtual community,People's Republic of China,Saihan District,Township-level division similar to townships
Hongsheng Hi-Tech Park,Development Area virtual community,People's Republic of China,Xincheng District,Township-level division similar to townships
Songyi kuangqu,Songmuping shequ,People's Republic of China,Yidu,Township-level division similar to townships
Lüshun Economic Development Zone,Sanyang,People's Republic of China,Lüshunkou District,Township-level division similar to townships
Central Business District,Yujiapu Financial District,People's Republic of China,Binhai New Area,Township-level division similar to townships
Xinzhuang Industrial Area,Shenxinxincun 1st,People's Republic of China,Minhang District,Township-level division similar to townships
Daqiaoxinqu Subdistrict,Dahualing,People's Republic of China,Jiangxia District,Township-level division similar to townships
Hexigten Coal-Power Base,Coal-Power Base Virtual Community,People's Republic of China,Hexigten Banner,Township-level division similar to townships
Hexigten Fishery,Fishery Virtual,People's Republic of China,Hexigten Banner,Township-level division similar to townships
