col0,col1,col2,col3,col4
2000 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,2000-04-07
1999 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1999-04-10
1998 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1998-04-10
1997 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1997-04-12
1991 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1991-04-13
1988 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1988-04-16
1987 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1987-04-18
1985 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1985-04-21
1983 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1983-04-23
1982 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1982-04-24
1981 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1981-04-18
1980 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1980-04-19
1978 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1978-04-23
1976 Circuit de la Sarthe,France,Circuit de la Sarthe,road bicycle racing,1976-04-18
