col0,col1,col2,col3,col4,col5
Relativna rečenica,Serbo-Croatian,1995-01-01,Snježana Kordić,relative pronoun,Zagreb
Riječi na granici punoznačnosti,Serbo-Croatian,2002-01-01,Snježana Kordić,corpus linguistics,Zagreb
Relativna rečenica,Serbo-Croatian,1995-01-01,Snježana Kordić,corpus linguistics,Zagreb
Riječi na granici punoznačnosti,Serbo-Croatian,2002-01-01,Snježana Kordić,frequency list,Zagreb
Relativna rečenica,Serbo-Croatian,1995-01-01,Snježana Kordić,frequency list,Zagreb
Riječi na granici punoznačnosti,Serbo-Croatian,2002-01-01,Snježana Kordić,deixis,Zagreb
Jezik i nacionalizam,Serbo-Croatian,2010-01-01,Snježana Kordić,language policy,Zagreb
Riječi na granici punoznačnosti,Serbo-Croatian,2002-01-01,Snježana Kordić,demonstrative,Zagreb
Jezik i nacionalizam,Serbo-Croatian,2010-01-01,Snježana Kordić,pluricentric language,Zagreb
Riječi na granici punoznačnosti,Serbo-Croatian,2002-01-01,Snježana Kordić,syntax,Zagreb
