col0,col1,col2,col3,col4
Göttingen station,Germany,architectural heritage monument,1854-05-31,Friedland (Han) station
Bonn Hauptbahnhof,Germany,architectural heritage monument in North Rhine-Westphalia,1885-04-22,Bonn UN Campus
Bremen main station,Germany,Protected cultural heritage monument in Bremen (state),1847-01-01,Bremen-Oberneuland station
Bonn Hauptbahnhof,Germany,architectural heritage monument in North Rhine-Westphalia,1885-04-22,Bonn West
Bremen main station,Germany,Protected cultural heritage monument in Bremen (state),1847-01-01,Bremen-Hemelingen
Leer,Germany,Kulturdenkmal,1856-06-20,Augustfehn railway station
Berlin-Schöneweide station,Germany,architectural heritage monument,1868-05-01,Oberspree station
Ostkreuz,Germany,Kulturdenkmal,1882-02-07,Berlin-Rummelsburg railway station
Bremen main station,Germany,Protected cultural heritage monument in Bremen (state),1847-01-01,Bremen Neustadt railway station
Bonn Hauptbahnhof,Germany,architectural heritage monument in North Rhine-Westphalia,1885-04-22,Universität/Markt
Leer,Germany,Kulturdenkmal,1856-06-20,Papenburg station
Göttingen station,Germany,architectural heritage monument,1854-05-31,Lenglern station
Bremen main station,Germany,Protected cultural heritage monument in Bremen (state),1847-01-01,Bremen-Walle station
Ostkreuz,Germany,Kulturdenkmal,1882-02-07,Nöldnerplatz station
Berlin-Schöneweide station,Germany,architectural heritage monument,1868-05-01,Betriebsbahnhof Schöneweide
