col0,col1,col2,col3,col4
Agios Ermolaos,Kyrenia District,Agios Ermolaos,Communal Council of Agios Ermolaos,Gerolakkos
Agia Eirini Keryneias,Kyrenia District,Agia Eirini Keryneias,Communal Council of Agia Eirini Kyrenia,Morfou
Agios Ermolaos,Kyrenia District,Agios Ermolaos,Communal Council of Agios Ermolaos,Skylloura
Agios Amvrosios Keryneias,Kyrenia District,Agios Amvrosios Keryneias,Communal Council of Agios Amvrosios Kyrenia,Charkeia
Agios Ermolaos,Kyrenia District,Agios Ermolaos,Communal Council of Agios Ermolaos,Fota
Agios Georgios Keryneias,Kyrenia District,Agios Georgios Keryneias,Communal Council of Agios Georgios Kyrenia,Trimithi
Agios Amvrosios Keryneias,Kyrenia District,Agios Amvrosios Keryneias,Communal Council of Agios Amvrosios Kyrenia,Trapeza
Agios Georgios Keryneias,Kyrenia District,Agios Georgios Keryneias,Communal Council of Agios Georgios Kyrenia,Templos
Agridaki,Kyrenia District,Agridaki,Communal Council of Agridaki,Sysklipos
Agios Ermolaos,Kyrenia District,Agios Ermolaos,Communal Council of Agios Ermolaos,Pileri
Agridaki,Kyrenia District,Agridaki,Communal Council of Agridaki,Lapithos
Agia Eirini Keryneias,Kyrenia District,Agia Eirini Keryneias,Communal Council of Agia Eirini Kyrenia,Kormakitis
Agridaki,Kyrenia District,Agridaki,Communal Council of Agridaki,Kontemenos
