col0,col1,col2,col3,col4,col5,col6
Tell Abyad District,129714,district of Syria,Tell Abyad,Syria,Al-Raqqah Governorate,4834.02
Al-Thawrah District,159840,district of Syria,Al-Thawrah,Syria,Al-Raqqah Governorate,5464.68
Raqqa District,503960,district of Syria,Raqqa,Syria,Al-Raqqah Governorate,7327.92
Al-Malikiyah District,191994,district of Syria,Al-Malikiyah,Syria,Al-Hasakah Governorate,2652.74
Mount Simeon District,2413878,district of Syria,Aleppo,Syria,Aleppo Governorate,2757.27
Tadmur District,76942,district of Syria,Tadmur,Syria,Homs Governorate,30823.49
Maarrat al-Nu'man District,371829,district of Syria,Maarrat al-Nu'man,Syria,Idlib Governorate,2028.88
Idlib District,384929,district of Syria,Idlib,Syria,Idlib Governorate,1436.94
Harem District,175482,district of Syria,Harem,Syria,Idlib Governorate,736.48
al-Bab District,201589,district of Syria,al-Bab,Syria,Aleppo Governorate,1480.19
Jableh District,196171,district of Syria,Jableh,Syria,Latakia Governorate,485.54
Al-Rastan District,128055,district of Syria,Al-Rastan,Syria,Homs Governorate,290.72
Al-Suwayda District,180907,district of Syria,Al-Suwayda,Syria,As-Suwayda Governorate,2804.22
Qardaha District,75279,district of Syria,Qardaha,Syria,Latakia Governorate,360.91
