col0,col1,col2,col3
1966–67 UC Irvine Anteaters men's basketball team,Crawford Hall,1965–66 UC Irvine Anteaters men's basketball team,United States of America
1995–96 UC Irvine Anteaters men's basketball team,Bren Events Center,1994–95 UC Irvine Anteaters men's basketball team,United States of America
1966–67 Michigan State Spartans men's basketball team,Jenison Fieldhouse,1965–66 Michigan State Spartans men's basketball team,United States of America
1969–70 Michigan State Spartans men's basketball team,Jenison Fieldhouse,1968–69 Michigan State Spartans men's basketball team,United States of America
1967–68 Michigan State Spartans men's basketball team,Jenison Fieldhouse,1966–67 Michigan State Spartans men's basketball team,United States of America
1978–79 UC Irvine Anteaters men's basketball team,Crawford Hall,1977–78 UC Irvine Anteaters men's basketball team,United States of America
2017–18 Texas–Arlington Mavericks men's basketball team,College Park Center,2016–17 Texas–Arlington Mavericks women's basketball team,United States of America
2017–18 South Alabama Jaguars men's basketball team,Mitchell Center,2016–17 South Alabama Jaguars women's basketball team,United States of America
2017–18 Arkansas State Red Wolves men's basketball team,Convocation Center,2016–17 Arkansas State Red Wolves women's basketball team,United States of America
2017–18 James Madison Dukes men's basketball team,James Madison University Convocation Center,2016–17 James Madison Dukes women's basketball team,United States of America
2017–18 William & Mary Tribe men's basketball team,William & Mary Hall,2016–17 William & Mary Tribe women's basketball team,United States of America
