col0,col1,col2,col3,col4,col5,col6
2017 ASB Classic,2016 ASB Classic (women),WTA International tournaments,ASB Tennis Centre,tennis tournament edition by gender,2018 ASB Classic (women),tennis
2016 ASB Classic,2015 ASB Classic,WTA International tournaments,ASB Tennis Centre,tennis tournament edition by gender,2017 ASB Classic (women),tennis
2015 ASB Classic,2014 ASB Classic,WTA International tournaments,ASB Tennis Centre,tennis tournament edition,2016 ASB Classic,tennis
2014 ASB Classic,2013 ASB Classic,WTA International tournaments,ASB Tennis Centre,tennis tournament edition,2015 ASB Classic,tennis
2000 ASB Classic,1999 ASB Classic,2000 WTA Tour,ASB Tennis Centre,tennis tournament edition,2001 ASB Classic,tennis
2007 ASB Classic,2006 ASB Classic,2007 WTA Tour,ASB Tennis Centre,tennis tournament edition,2008 ASB Classic,tennis
1997 ASB Classic,1996 Amway Classic,1997 WTA Tour,ASB Tennis Centre,tennis tournament edition,1998 ASB Classic,tennis
2011 ASB Classic,2010 ASB Classic,WTA International tournaments,ASB Tennis Centre,tennis tournament edition,2012 ASB Classic,tennis
2012 ASB Classic,2011 ASB Classic,WTA International tournaments,ASB Tennis Centre,tennis tournament edition,2013 ASB Classic,tennis
2001 ASB Classic,2000 ASB Classic,2000 WTA Tour,ASB Tennis Centre,tennis tournament edition,2002 ASB Classic,tennis
2017 ASB Classic,2016 ASB Classic (women),WTA International tournaments,ASB Tennis Centre,ASB Classic,2018 ASB Classic (women),tennis
2016 ASB Classic,2015 ASB Classic,WTA International tournaments,ASB Tennis Centre,ASB Classic,2017 ASB Classic (women),tennis
2015 ASB Classic,2014 ASB Classic,WTA International tournaments,ASB Tennis Centre,ASB Classic,2016 ASB Classic,tennis
2014 ASB Classic,2013 ASB Classic,WTA International tournaments,ASB Tennis Centre,ASB Classic,2015 ASB Classic,tennis
2000 ASB Classic,1999 ASB Classic,2000 WTA Tour,ASB Tennis Centre,ASB Classic,2001 ASB Classic,tennis
