col0,col1,col2,col3,col4,col5,col6
1988 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1989 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1987 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1988 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1986 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1987 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1985 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1986 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1984 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1985 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1983 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1984 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1982 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1983 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1981 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1982 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1980 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1981 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1979 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1980 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1977 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1978 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
