col0,col1,col2,col3,col4,col5
Wiki: Papers from the 2016 ICWSM Workshop,AAAI Technical Report,Association for the Advancement of Artificial Intelligence,2016-01-01,Papers from the 2016 ICWSM Workshop,Robert West
Advances in Cryptology — EUROCRYPT '87,Lecture Notes in Computer Science,Springer Science+Business Media,1988-01-01,"Workshop on the Theory and Application of Cryptographic Techniques Amsterdam, The Netherlands, April 13–15, 1987 Proceedings",Wyn L. Price
"Knowledge Engineering and Knowledge Management: 20th International Conference, EKAW 2016, Bologna, Italy, November 19-23, 2016, Proceedings",Lecture Notes in Computer Science,Springer International Publishing,2016-11-04,"20th International Conference, EKAW 2016, Bologna, Italy, November 19-23, 2016, Proceedings",Eva Blomqvist
Advances in Cryptology — CRYPTO’ 99,Lecture Notes in Computer Science,Springer Berlin Heidelberg,1999-01-01,"19th Annual International Cryptology Conference Santa Barbara, California, USA, August 15–19, 1999 Proceedings",Michael Wiener
Wiki: Papers from the 2016 ICWSM Workshop,AAAI Technical Report,Association for the Advancement of Artificial Intelligence,2016-01-01,Papers from the 2016 ICWSM Workshop,Jure Leskovec
Advances in Cryptology — EUROCRYPT '94,Lecture Notes in Computer Science,Springer Berlin Heidelberg,1995-01-01,"Workshop on the Theory and Application of Cryptographic Techniques Perugia, Italy, May 9–12, 1994 Proceedings",Alfredo De Santis
Advances in Cryptology — EUROCRYPT ’93,Lecture Notes in Computer Science,Springer Berlin Heidelberg,1994-01-01,"Workshop on the Theory and Application of Cryptographic Techniques Lofthus, Norway, May 23–27, 1993 Proceedings",Tor Helleseth
"The Semantic Web – ISWC 2014, Part I",Lecture Notes in Computer Science,Springer International Publishing,2014-10-09,"13th International Semantic Web Conference, Riva del Garda, Italy, October 19-23, 2014. Proceedings, Part I",Paul Groth
Wiki: Papers from the 2016 ICWSM Workshop,AAAI Technical Report,Association for the Advancement of Artificial Intelligence,2016-01-01,Papers from the 2016 ICWSM Workshop,Dario Taraborelli
"The Semantic Web – ISWC 2014, Part I",Lecture Notes in Computer Science,Springer International Publishing,2014-10-09,"13th International Semantic Web Conference, Riva del Garda, Italy, October 19-23, 2014. Proceedings, Part I",Denny Vrandečić
