col0,col1,col2,col3,col4
Olana State Historic Site,United States of America,state historic site in the United States,Greenport,National Historic Landmark
Mastodon State Historic Site,United States of America,state historic site in the United States,Jefferson County,place listed on the National Register of Historic Places
Thomas Hart Benton Home and Studio State Historic Site,United States of America,state historic site in the United States,Kansas City,place listed on the National Register of Historic Places
Scott Joplin House State Historic Site,United States of America,state historic site in the United States,St. Louis,National Historic Landmark
Knox's Headquarters State Historic Site,United States of America,state historic site in the United States,New Windsor,National Historic Landmark
Lincoln Historic District,United States of America,historic district,Lincoln County,National Historic Landmark
Harry S Truman Birthplace State Historic Site,United States of America,historic house,Lamar,place listed on the National Register of Historic Places
Scott Joplin House State Historic Site,United States of America,historic house museum,St. Louis,National Historic Landmark
White Hall,United States of America,mansion,Richmond,place listed on the National Register of Historic Places
Olana State Historic Site,United States of America,mansion,Greenport,National Historic Landmark
Fort Halifax,United States of America,fort,Winslow,National Historic Landmark
