col0,col1,col2,col3,col4
count of Verdun,count,County of Verdun,countess of Verdun,list of counts of Verdun
count of Bar,count,Duchy of Bar,countess of Bar,Counts and Dukes of Bar
duke of Guise,duke,Duchy of Guise,duchess of Guise,Counts and Dukes of Guise
duke of Mercœur,duke,Duchy of Mercoeur,duchess of Mercœur,list of dukes of Mercœur
king of Lombards,King,Kingdom of the Lombards,queen of Lombards,list of kings of the Lombards
count of Flanders,head of state,County of Flanders,countess of Flanders,list of counts of Flanders
count of Bigorre,count,County of Bigorre,countess of Bigorre,list of counts of Bigorre
duke of Bavaria,duke,Duchy of Bavaria,duchess of Bavaria,list of rulers of Bavaria
duke of Bar,duke,Duchy of Bar,duchess of Bar,Counts and Dukes of Bar
count of Maine,count,comté du Maine,countess of Maine,Counts and Dukes of Maine
