col0,col1,col2,col3,col4
"2019 Vuelta a España, stage 8",Igualada,Valls,Miguel Ángel López,Alex Aranburu
"2019 Vuelta a España, stage 6",Ares del Maestrat,Mora de Rubielos,Movistar 2019,Fabio Jakobsen
"2019 Vuelta a España, stage 8",Igualada,Valls,Miguel Ángel López,Dylan Teuns
"2019 Vuelta a España, stage 6",Ares del Maestrat,Mora de Rubielos,Movistar 2019,Edward Theuns
"2019 Giro d'Italia, stage 17",Rasen-Antholz,Commezzadura,Movistar 2019,Pascal Ackermann
"2019 Giro d'Italia, stage 15",Como,Ivrea,Pavel Sivakov,Pascal Ackermann
"2019 Giro d'Italia, stage 17",Rasen-Antholz,Commezzadura,Movistar 2019,Simon Yates
"2019 Giro d'Italia, stage 15",Como,Ivrea,Pavel Sivakov,Simon Yates
"2019 Giro d'Italia, stage 17",Rasen-Antholz,Commezzadura,Arnaud Démare,Simon Yates
"2019 Vuelta a España, stage 6",Ares del Maestrat,Mora de Rubielos,Movistar 2019,Sam Bennett
"2019 Vuelta a España, stage 8",Igualada,Valls,Miguel Ángel López,Sam Bennett
"2019 Vuelta a España, stage 6",Ares del Maestrat,Mora de Rubielos,Movistar 2019,Primož Roglič
"2019 Giro d'Italia, stage 17",Rasen-Antholz,Commezzadura,Movistar 2019,Primož Roglič
"2019 Giro d'Italia, stage 15",Como,Ivrea,Pavel Sivakov,Primož Roglič
"2019 Giro d'Italia, stage 17",Rasen-Antholz,Commezzadura,Nans Peters,Primož Roglič
