col0,col1,col2,col3,col4,col5,col6
San Sebastián Classic 2019,2019 UCI World Tour,Greg Van Avermaet,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2018 Clásica de San Sebastián,2018 UCI World Tour,Greg Van Avermaet,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2017 Clásica de San Sebastián,2017 UCI World Tour,Greg Van Avermaet,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2016 Clásica de San Sebastián,2016 UCI World Tour,Greg Van Avermaet,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2014 Clásica de San Sebastián,2014 UCI World Tour,Greg Van Avermaet,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2011 Clásica de San Sebastián,2011 UCI World Tour,Greg Van Avermaet,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2012 Clásica de San Sebastián,2012 UCI World Tour,Diego Ulissi,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2014 Clásica de San Sebastián,2014 UCI World Tour,Mikel Nieve,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2013 Clásica de San Sebastián,2013 UCI World Tour,Mikel Nieve,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2014 Clásica de San Sebastián,2014 UCI World Tour,Giovanni Visconti,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
San Sebastián Classic 2019,2019 UCI World Tour,Bauke Mollema,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2018 Clásica de San Sebastián,2018 UCI World Tour,Bauke Mollema,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2017 Clásica de San Sebastián,2017 UCI World Tour,Bauke Mollema,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
2016 Clásica de San Sebastián,2016 UCI World Tour,Bauke Mollema,Donostia-San Sebastian,road bicycle racing,Donostia-San Sebastian,Spain
