col0,col1,col2,col3,col4
First War of Scottish Independence,1296-01-01,Treaty of Edinburgh–Northampton,Wars of Scottish Independence,Kingdom of England
Polish–Soviet War,1919-02-01,Peace of Riga (1921),Russian Civil War,Polish Socialistic Soviet Republic
Third Punic War,-0148-01-01T00:00:00Z,peace treaty,Punic wars,Ancient Carthage
2006 Lebanon War,2006-07-12,United Nations Security Council Resolution 1701,Israeli-Lebanese conflict,Lebanese Communist Party
Russo-Turkish War of 1768–1774,1768-01-01,Treaty of Küçük Kaynarca,History of the Russo-Turkish wars,Kingdom of Imereti
2006 Lebanon War,2006-07-12,United Nations Security Council Resolution 1701,Israeli-Lebanese conflict,Popular Front for the Liberation of Palestine – General Command
Russo-Turkish War of 1768–1774,1768-01-01,Treaty of Küçük Kaynarca,History of the Russo-Turkish wars,Egypt Eyalet
2006 Lebanon War,2006-07-12,United Nations Security Council Resolution 1701,Israeli-Lebanese conflict,Amal Movement
Russo-Turkish War of 1768–1774,1768-01-01,Treaty of Küçük Kaynarca,History of the Russo-Turkish wars,Kingdom of Kartli-Kakheti
Polish–Soviet War,1919-02-01,Peace of Riga (1921),Russian Civil War,Lithuanian–Belorussian Soviet Socialist Republic
2006 Lebanon War,2006-07-12,United Nations Security Council Resolution 1701,Israeli-Lebanese conflict,Hezbollah
Russo-Turkish War of 1768–1774,1768-01-01,Treaty of Küçük Kaynarca,History of the Russo-Turkish wars,Russian Empire
Russo-Turkish War,1787-08-24,Treaty of Jassy,History of the Russo-Turkish wars,Russian Empire
