col0,col1,col2,col3,col4,col5
Rnu7,house mouse,small nuclear RNA,small nuclear RNA,reverse strand,mouse chromosome 6
Rnu6,house mouse,small nuclear RNA,small nuclear RNA,reverse strand,mouse chromosome 17
Rnu3b4,house mouse,small nuclear RNA,small nuclear RNA,forward strand,mouse chromosome 11
Rnu3b3,house mouse,small nuclear RNA,small nuclear RNA,forward strand,mouse chromosome 11
Rnu3b2,house mouse,small nuclear RNA,small nuclear RNA,forward strand,mouse chromosome 11
Rnu3b1,house mouse,small nuclear RNA,small nuclear RNA,forward strand,mouse chromosome 11
Rnu2-10,house mouse,small nuclear RNA,small nuclear RNA,forward strand,mouse chromosome 11
Rnu1b6,house mouse,small nuclear RNA,small nuclear RNA,reverse strand,mouse chromosome 3
Rnu1b2,house mouse,small nuclear RNA,small nuclear RNA,forward strand,mouse chromosome 3
Rnu1b1,house mouse,small nuclear RNA,small nuclear RNA,reverse strand,mouse chromosome 3
Rnu1a1,house mouse,small nuclear RNA,small nuclear RNA,forward strand,mouse chromosome 11
Rn7sk,house mouse,small nuclear RNA,small nuclear RNA,reverse strand,mouse chromosome 9
