col0,col1,col2,col3,col4,col5
Mikkeli,municipality of Finland,Mikkeli Airport,Finland,UTC+02:00,South-Eastern Finland
Joensuu,municipality of Finland,Mehtimäki Ice Hall,Finland,UTC+02:00,Savonia-Karelia
Lappeenranta,municipality of Finland,Lappeenranta Airport,Finland,UTC+02:00,South-Eastern Finland
Pori,municipality of Finland,Isomäki Areena,Finland,UTC+02:00,Satakunta
Kuopio,municipality of Finland,Kuopio Football Stadium,Finland,UTC+02:00,Savonia-Karelia
Jyväskylä,municipality of Finland,Harju Stadium,Finland,UTC+02:00,Central Finland
Vantaa,municipality of Finland,Energia Areena,Finland,UTC+02:00,Uusimaa
Rovaniemi,capital,Rovaniemen keskuskenttä,Finland,UTC+02:00,Lapland
Kotka,city,Arto Tolsa Areena,Finland,UTC+02:00,South-Eastern Finland
Mikkeli,city,Mikkeli Airport,Finland,UTC+02:00,South-Eastern Finland
Joensuu,city,Mehtimäki Ice Hall,Finland,UTC+02:00,Savonia-Karelia
Lappeenranta,city,Lappeenranta Airport,Finland,UTC+02:00,South-Eastern Finland
Pori,city,Isomäki Areena,Finland,UTC+02:00,Satakunta
