col0,col1,col2,col3,col4
Urawa interchange,Urawa toll booth,Japan,interchange,Japan National Route 463
Naruse-Okumatsushima interchange,Naruse-Okumatsushima toll gate,Japan,interchange,Japan National Route 45
Tosu interchange,Tosu junction,Japan,interchange,Japan National Route 34
Minokamo interchange,Minokamo service area,Japan,interchange,Japan National Route 41
Takeo-minami interchange,Takeo-minami toll gate,Japan,interchange,Japan National Route 34
Sasebo-Mikawachi interchange,Sasebo-Mikawachi toll gate,Japan,interchange,Japan National Route 35
Echigo-kawaguchi interchange,Echigo-kawaguchi service area,Japan,interchange,Niigata Prefectural Road Route 83
Konan interchange,Konan parking area,Japan,interchange,Shiga Prefectural Road Route 343
Seta-higashi interchange,Seta-higashi junction,Japan,interchange,Shiga Prefectural Road Route 2
Oizumi interchange,Ōizumi Junction,Japan,interchange,Tokyo Metropolitan Road and Saitama Prefectural Road Route 24
Kuroiso-itamuro interchange,Kuroiso parking area,Japan,interchange,Tochigi Prefectural Road Route 351
Sapporo-minami interchange,Sapporo-minami toll gate,Japan,interchange,Sapporo Shindo
Horinouchi interchange,Horinouchi parking area,Japan,interchange,Niigata Prefectural Road Route 84
Nadachi-tanihama interchange,Nadachi-tanihama service area,Japan,interchange,Niigata Prefectural Road Route 87
