col0,col1,col2,col3,col4,col5,col6,col7
Appliqué inv. 739,appliqué,Arenys de Mar Museum,6,Art Nouveau,Marià Castells i Simón,cotton,Spain
Appliqué inv. 734,appliqué,Arenys de Mar Museum,95,Art Nouveau,Marià Castells i Simón,cotton,Spain
Appliqué inv. 733,appliqué,Arenys de Mar Museum,13,Art Nouveau,Marià Castells i Simón,cotton,Spain
Appliqué inv. 729,appliqué,Arenys de Mar Museum,13,Art Nouveau,Fábrica de blondas y encajes Castells,cotton,Spain
Appliqué inv. 727,appliqué,Arenys de Mar Museum,13,Art Nouveau,Marià Castells i Simón,cotton,Spain
Appliqué inv. 725,appliqué,Arenys de Mar Museum,125,Art Nouveau,Marià Castells i Simón,cotton,Spain
Appliqué inv. 724,appliqué,Arenys de Mar Museum,125,Art Nouveau,Marià Castells i Simón,cotton,Spain
Appliqué inv. 3656,bobbin lace,Arenys de Mar Museum,24,Art Nouveau,Marià Castells i Simón,cotton,Spain
Appliqué inv. 3638,bobbin lace,Arenys de Mar Museum,84,Art Nouveau,Marià Castells i Simón,cotton,Spain
Appliqué inv. 3596,bobbin lace,Arenys de Mar Museum,24,Art Nouveau,Marià Castells i Simón,cotton,Spain
Appliqué inv. 3580,bobbin lace,Arenys de Mar Museum,58,Art Nouveau,Fábrica de blondas y encajes Castells,cotton,Spain
Appliqué  inv. 2757,bobbin lace,Arenys de Mar Museum,60,Art Nouveau,Marià Castells i Simón,cotton,Spain
Appliqué inv. 853,bobbin lace,Arenys de Mar Museum,155,Art Nouveau,Fábrica de blondas y encajes Castells,cotton,Spain
Appliqué inv. 850,bobbin lace,Arenys de Mar Museum,100,Art Nouveau,Fábrica de blondas y encajes Castells,cotton,Spain
Appliqué inv. 848,bobbin lace,Arenys de Mar Museum,45,Art Nouveau,Fábrica de blondas y encajes Castells,bobbin lace,Spain
