col0,col1,col2,col3,col4
Portland Business Journal,newspaper,Portland,Portland,Portland Business Journal
Eugene Weekly,periodical,Eugene,Eugene,Eugene Weekly
West Linn Tidings,periodical,Lake Oswego,Lake Oswego,West Linn Tidings
Eugene Weekly,newspaper,Eugene,Eugene,Eugene Weekly
West Linn Tidings,newspaper,Lake Oswego,Lake Oswego,West Linn Tidings
Woodburn Independent,periodical,Woodburn,Woodburn,Woodburn Independent
Wilsonville Spokesman,periodical,Wilsonville,Wilsonville,Wilsonville Spokesman
The Register-Guard,periodical,Eugene,Eugene,The Register-Guard
The Portland Mercury,periodical,Portland,Portland,The Portland Mercury
The Outlook,periodical,Gresham,Gresham,The Outlook
