col0,col1,col2,col3,col4
KSudoku,Qt,application,KDE Applications,"GNU General Public License, version 2.0"
KSpaceDuel,Qt,application,KDE Applications,"GNU General Public License, version 2.0"
KSnakeDuel,Qt,application,KDE Applications,"GNU General Public License, version 2.0 or later"
KsirK,Qt,application,KDE Applications,"GNU General Public License, version 2.0"
KShisen,Qt,application,KDE Applications,"GNU General Public License, version 2.0 or later"
KReversi,Qt,application,KDE Applications,"GNU General Public License, version 2.0"
KPatience,Qt,application,KDE Applications,"GNU General Public License, version 2.0"
Kollision,Qt,application,KDE Applications,"GNU General Public License, version 2.0"
KNights,Qt,application,KDE Applications,"GNU General Public License, version 2.0 or later"
KMahjongg,Qt,application,KDEGames,"GNU General Public License, version 2.0"
KLines,Qt,application,KDE Applications,"GNU General Public License, version 2.0"
KJumpingCube,Qt,application,KDE Applications,"GNU General Public License, version 2.0"
Kiriki,Qt,application,KDE Applications,"GNU General Public License, version 2.0"
