col0,col1,col2,col3,col4,col5
2006 Tour du Limousin,2005 Tour du Limousin,Tour du Limousin,2006-08-18,2007 Tour du Limousin,Pierrick Fédrigo
2003 Tour du Limousin,2002 Tour du Limousin,Tour du Limousin,2003-08-22,2004 Tour du Limousin,Thor Hushovd
2002 Tour du Limousin,2001 Tour du Limousin,Tour du Limousin,2002-08-23,2003 Tour du Limousin,Pierrick Fédrigo
2001 Tour du Limousin,2000 Tour du Limousin,Tour du Limousin,2001-08-24,2002 Tour du Limousin,David Moncoutié
2000 Tour du Limousin,1999 Tour du Limousin,Tour du Limousin,2000-08-18,2001 Tour du Limousin,Jean-Cyril Robin
1999 Tour du Limousin,1998 Tour du Limousin,Tour du Limousin,1999-08-20,2000 Tour du Limousin,Grzegorz Gwiazdowski
1998 Tour du Limousin,1997 Tour du Limousin,Tour du Limousin,1998-08-21,1999 Tour du Limousin,Bobby Julich
1997 Tour du Limousin,1996 Tour du Limousin,Tour du Limousin,1997-08-22,1998 Tour du Limousin,Cédric Vasseur
1996 Tour du Limousin,1995 Tour du Limousin,Tour du Limousin,1996-08-23,1997 Tour du Limousin,Laurent Brochard
1995 Tour du Limousin,1994 Tour du Limousin,Tour du Limousin,1995-08-18,1996 Tour du Limousin,Jan Ullrich
1994 Tour du Limousin,1993 Tour du Limousin,Tour du Limousin,1994-08-19,1995 Tour du Limousin,Jens Heppner
1993 Tour du Limousin,1992 Tour du Limousin,Tour du Limousin,1993-08-20,1994 Tour du Limousin,Richard Virenque
1992 Tour du Limousin,1991 Tour du Limousin,Tour du Limousin,1992-08-21,1993 Tour du Limousin,Melcior Mauri
1991 Tour du Limousin,1990 Tour du Limousin,Tour du Limousin,1991-08-17,1992 Tour du Limousin,Michael Engleman
1990 Tour du Limousin,1989 Tour du Limousin,Tour du Limousin,1990-08-18,1991 Tour du Limousin,Martial Gayant
