col0,col1,col2,col3,col4,col5,col6
1959 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1960 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1958 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1959 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1957 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1958 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1956 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1957 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1955 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1956 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1940 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1955 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1939 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1940 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1938 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1939 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1935 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1936 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
1934 Mexican Badminton Championships,Mexican Badminton Championships,Mexico,badminton,national championship,1935 Mexican Badminton Championships,WikiProject Badminton/tournament focus list
