col0,col1,col2,col3,col4,col5
Steilhänge der Saar,Grey Heron,Mettlach,Saar,1108,Germany
VSG Lippeaue zwischen Hamm und Lippstadt mit Ahsewiesen,Common Crane,Hamm,Hamm,2301.23,Germany
Vogelschutzgebiet Königsforst,Eurasian Hobby,Cologne,Königsforst,2517.26,Germany
VSG Lippeaue zwischen Hamm und Lippstadt mit Ahsewiesen,Western Marsh Harrier,Welver,Hamm,2301.23,Germany
Drömling,Black Woodpecker,Wolfsburg,Drömling,4219,Germany
VSG Lippeaue zwischen Hamm und Lippstadt mit Ahsewiesen,Pandion haliaetus,Wadersloh,Lippstadt,2301.23,Germany
Vogelschutzgebiet Hellwegbörde,Eurasian Skylark,Bad Sassendorf,Hellweg Börde,48378.58,Germany
Vogelschutzgebiet Wälder und Wiesen bei Burbach und Neunkirchen,Corn Crake,Burbach,Neunkirchen,4654.56,Germany
Mittlere Oderniederung,Anas clypeata,Märkisch-Oderland District,Oder,31717.04,Germany
VSG Lippeaue zwischen Hamm und Lippstadt mit Ahsewiesen,Common Crane,Lippstadt,Hamm,2301.23,Germany
