col0,col1,col2,col3,col4,col5,col6
Blacksmith,Blacksmith,Latin script,Herrero,occupational surname,Blacksmith,English
Archer,Archer,Latin script,Larcher,occupational surname,Archer,English
Taylor,Taylor,Latin script,Tayler,occupational surname,Taylor,English
Carpenter,Carpenter,Latin script,Carpender,occupational surname,Carpenter,English
Butcher,Butcher,Latin script,Carnicero,occupational surname,Butcher,English
Cook,Cook,Latin script,Cooke,occupational surname,Cook,English
Butler,Butler,Latin script,Buttler,occupational surname,Butler,English
Baker,Baker,Latin script,Bakker,occupational surname,Baker,English
Smith,Smith,Latin script,Schmid,occupational surname,Smith,English
Blacksmith,Blacksmith,Latin script,Herrero,family name,Blacksmith,English
Archer,Archer,Latin script,Larcher,family name,Archer,English
Taylor,Taylor,Latin script,Tayler,family name,Taylor,English
Carpenter,Carpenter,Latin script,Carpender,family name,Carpenter,English
