col0,col1,col2,col3,col4
TY Coronae Borealis,32.8582,white dwarf,pulsating white dwarf,11240
GD 165,33.4074,white dwarf,pulsating white dwarf,12760
G 117-B15A,57.5189,white dwarf,pulsating white dwarf,17357
GD 358,43.1012,white dwarf,pulsating white dwarf,25250
Ross 548,32.7601,white dwarf,pulsating white dwarf,12480
39 Ceti,74.3345,white dwarf,RS Canum Venaticorum variable,5044
G 185-32,18.2568,white dwarf,pulsating white dwarf,12490
GD 66,57.2138,white dwarf,pulsating white dwarf,16268
HL Tau 76,48.1049,white dwarf,pulsating white dwarf,15838
G 29-38,17.5378,white dwarf,pulsating white dwarf,11240
