col0,col1,col2,col3,col4
Sieg,2001-03-01,Silikatfelsen an der Sieg,Sieg,Phengaris nausithous
Wummsee und Twernsee,1998-01-01,Wumm-See und Twern-See,Großer Wummsee,Osmoderma eremita
"Dedenborn, Talaue des Püngel-, Wüstebaches und Erkensruhroberlauf",2001-03-01,Eifel National Park,Erkensruhr,Trichomanes speciosum
Felsen am Unterlauf des Perlenbaches,2001-03-01,Perlenbach-Fuhrtsbachtal-Talsystem,Perlenbach,Trichomanes speciosum
"Herrensee, Lange-Damm-Wiesen und Barnimhänge",2000-01-01,"Herrensee, Lange-Damm-Wiesen und Barnim-Hänge",Herrensee,Vertigo angustior
Perlenbach-Fuhrtsbachtal,1999-08-01,Perlenbach-Fuhrtsbachtal-Talsystem,Perlenbach,Hamatocaulis vernicosus
Heiliges Meer - Heupen,1999-01-01,Heiliges Meer–Heupen,Großes Heiliges Meer,Luronium natans
"NSG Bienener Altrhein, Millinger u. Hurler Meer u. NSG Empeler M.",1999-01-01,"Bienener Altrhein, Millinger Meer,  Hurler Meer und Empeler Meer",Millinger Meer,European bitterling
"NSG Sonsfeldsche Bruch, Hagener Meer und Düne, mit Erweiterung",1999-01-01,"Sonsfeldsche Bruch, Hagener Meer und Düne",Hagener Meer,European bitterling
Siegaue und Siegmündung,1999-01-01,Siegaue,Sieg,European bitterling
"NSG Bislicher Insel, nur Teilfläche",1999-01-01,Bislicher Insel,Rhine,European bitterling
Buchheller-Quellgebiet,1999-01-01,Buchhellerquellgebiet,Buchheller,Phengaris nausithous
Mittlere Oder,2000-01-01,Mittlere Oder,Oder,Romanogobio belingi
