col0,col1,col2,col3,col4,col5
"Duke de Toys, Chief of the peddlars",engraving,Edinburgh,National Library of Scotland,1800-01-01,clothing
Four pidgeons,engraving,Edinburgh,National Library of Scotland,1800-01-01,clothing
Lord Melville monument,print,Edinburgh,National Library of Scotland,1800-01-01,clothing
Mr O Brion the celebrated Irish giant,print,Edinburgh,National Library of Scotland,1800-01-01,clothing
Orlando & Rosalind,print,Edinburgh,National Library of Scotland,1800-01-01,clothing
"Apollo, Prince of the muses, suping browse out of his helmet",print,Edinburgh,National Library of Scotland,1800-01-01,clothing
"Duke de Toys, Chief of the peddlars",print,Edinburgh,National Library of Scotland,1800-01-01,clothing
Four pidgeons,print,Edinburgh,National Library of Scotland,1800-01-01,clothing
Dr Monro,work of art,Edinburgh,National Library of Scotland,1800-01-01,clothing
Lord Melville monument,work of art,Edinburgh,National Library of Scotland,1800-01-01,clothing
Mr O Brion the celebrated Irish giant,work of art,Edinburgh,National Library of Scotland,1800-01-01,clothing
