col0,col1,col2,col3,col4
Abronia gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
Acerronia gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
Sextilia gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
Ancharia gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
Albia gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
Cilnia gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
Aternia gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
Hosidia gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
Caecia gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
Bantia gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
Betiliena gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
Betucia gens,feminine,ancient Rome,classical antiquity,1870 Dictionary of Greek and Roman Biography and Mythology
