col0,col1,col2,col3,col4,col5,col6
Balarampur community development block,21827,137950,300.88,Indian Standard Time,Purulia Sadar subdivision,66774
Arsha community development block,0,154736,375.04,Indian Standard Time,Purulia Sadar subdivision,84323
Baghmundi community development block,0,135579,427.95,Indian Standard Time,Jhalda subdivision,70640
Bagnan I community development block,17439,191225,83.01,Indian Standard Time,Uluberia subdivision,56978
Bagnan II community development block,7129,146298,77.52,Indian Standard Time,Uluberia subdivision,44363
Amta I community development block,0,200164,123.65,Indian Standard Time,Uluberia subdivision,61671
Amta II community development block,0,189259,135.42,Indian Standard Time,Uluberia subdivision,57954
Bally Jagachha community development block,149948,164531,72.05,Indian Standard Time,Howrah Sadar subdivision,43140
Andal community development block,127430,186915,84.87,Indian Standard Time,Durgapur subdivision,58661
Ausgram I community development block,0,119363,222.34,Indian Standard Time,Bardhaman Sadar North subdivision,45957
Ausgram II community development block,0,150896,360.45,Indian Standard Time,Bardhaman Sadar North subdivision,59980
Jaynagar I community development block,5064,263151,131.01,UTC+05:30,Baruipur subdivision,97164
Jaynagar II community development block,0,252164,186.25,UTC+05:30,Baruipur subdivision,103488
