col0,col1,col2,col3,col4
War Horse,Janusz Kamiński,Joanna Johnston,Not recommended for children under 7,Rick Carter
Thor,Haris Zambarloukos,Alexandra Byrne,Not recommended for children under 7,Bo Welch
Star Trek Beyond,Stephen F. Windon,Sanja Milkovic Hays,Not recommended for children under 7,Thomas E. Sanders
Pan,John Mathieson,Jacqueline Durran,Not recommended for children under 7,Aline Bonetto
Joker,Lawrence Sher,Mark Bridges,not recommended for minors under 18,Mark Friedberg
Pulp Fiction,Andrzej Sekuła,Betsy Faith Heimann,not recommended for minors under 18,David Wasco
Another Way,Tamás Andor,Emőke Csengey,not recommended for minors under 18,Tamás Vayer
Fantastic Beasts and Where to Find Them,Philippe Rousselot,Colleen Atwood,Particularly suitable for kids,Stuart Craig
Son of Saul,Mátyás Erdély,Edit Szűcs,not recommended for minors under 18,László Rajk Jr.
Absolutely Anything,Peter Hannan,James Acheson,Not recommended for children under 7,James Acheson
The Dark Valley,Thomas Kiennast,Natascha Curtius-Noss,Not recommended for minors under 16,Claus Rudolf Amler
Mad Max: Fury Road,John Seale,Jenny Beavan,Not recommended for minors under 16,Colin Gibson
