col0,col1,col2,col3,col4
1957 Tour of the Netherlands,1957-05-13,Ronde van Nederland,1957-05-06,Rik Van Looy
1956 Tour of the Netherlands,1956-08-13,Ronde van Nederland,1956-08-06,Rik Van Looy
1955 Tour of the Netherlands,1955-04-30,Ronde van Nederland,1955-04-23,Wim van Est
1954 Tour of the Netherlands,1954-05-02,Ronde van Nederland,1954-04-26,Gerrit Voorting
1952 Tour of the Netherlands,1952-06-08,Ronde van Nederland,1952-06-02,Gerrit Voorting
1951 Tour of the Netherlands,1951-06-10,Ronde van Nederland,1951-06-05,Jean Bogaerts
1950 Tour of the Netherlands,1950-05-31,Ronde van Nederland,1950-05-24,Henk Lakeman
1949 Tour of the Netherlands,1959-05-15,Ronde van Nederland,1949-05-06,Bouk Schellingerhoudt
1948 Tour of the Netherlands,1948-05-02,Ronde van Nederland,1948-04-24,Jean Goldschmit
1980 Tour of the Netherlands,1980-08-15,Ronde van Nederland,1980-08-10,Gerrie Knetemann
1978 Tour of the Netherlands,1978-08-19,Ronde van Nederland,1978-08-14,Johan van der Velde
1963 Tour of the Netherlands,1963-05-13,Ronde van Nederland,1963-05-09,Lex van Kreuningen
1965 Tour of the Netherlands,1965-05-16,Ronde van Nederland,1965-05-12,Jan Janssen
