col0,col1,col2,col3
Trismus-pseudocamptodactyly syndrome,MYH8,distal arthrogryposis,hereditary disorder
progressive pseudorheumatoid arthropathy of childhood,CCN6,genetic disease,hereditary disorder
"spondylometaphyseal dysplasia, Kozlowski type",TRPV4,spondylometaphyseal dysplasia,hereditary disorder
Stüve-Wiedemann syndrome,LIFR,bent bone dysplasia,hereditary disorder
X-linked recessive chondrodysplasia punctata,ARSL,X-linked chondrodysplasia punctata,hereditary disorder
punctate palmoplantar keratoderma,AAGAB,palmoplantar keratosis,hereditary disorder
"Platyspondylic lethal skeletal dysplasia, Torrance type",COL2A1,thanatophoric dysplasia,hereditary disorder
Majeed syndrome,LPIN2,autoinflammatory syndrome with immune deficiency,hereditary disorder
Lenz microphthalmia syndrome,NAA10,Syndromic microphthalmia,hereditary disorder
Familial partial lipodystrophy,PPARG,partial lipodystrophy,hereditary disorder
frontometaphyseal dysplasia,FLNA,otopalatodigital syndrome spectrum disorder,hereditary disorder
Majewski's polydactyly syndrome,NEK1,short rib – polydactyly syndrome,hereditary disorder
