col0,col1,col2,col3,col4
Sack of Thessalonica,1185-01-01,Byzantine–Norman wars,Siege of Thessalonica (676–678),1185-01-01
Capture of Breda of 1590,1590-03-04,Eighty Years' War,Siege of Breda (1793),1590-03-01
Siege of Mainz,1793-01-01,War of the First Coalition,Siege of Mainz (1792),1793-07-23
first siege of Girona in 1808,1808-06-20,Peninsular War,Siege of Girona,1808-06-20
Capture of Breda of 1590,1590-03-04,Eighty Years' War,Siege of Breda (1813),1590-03-01
Siege of Corfu,1716-01-01,Austro-Turkish War of 1716–1718,Siege of Corfu,1716-08-26
first siege of Girona in 1808,1808-06-20,Peninsular War,siege of Força Vella,1808-06-20
Siege of Genoa,1800-01-01,War of the Second Coalition,Siege of Genoa (1746),1800-06-04
Sack of Thessalonica,1185-01-01,Byzantine–Norman wars,Siege of Thessalonica,1185-01-01
Siege of Corfu,1716-01-01,Austro-Turkish War of 1716–1718,Siege of Corfu,1716-08-26
Siege of Genoa,1800-01-01,War of the Second Coalition,Siege of Genoa,1800-06-04
first siege of Girona in 1808,1808-06-20,Peninsular War,Siege of Gerona,1808-06-20
Sack of Thessalonica,1185-01-01,Byzantine–Norman wars,Siege of Thessalonica,1185-01-01
Siege of Calais,1940-01-01,World War II,Siege of Calais (1436),1940-05-26
Capture of Breda of 1590,1590-03-04,Eighty Years' War,Siege of Breda,1590-03-01
