col0,col1,col2,col3,col4,col5
Kirishsky,Russia,Kirishi,urban settlement in Russia,Kirishsky District,50885
Municipal district Vyborg,Russia,Vyborg,urban settlement in Russia,Vyborgsky District,77400
Mginskoye Urban Settlement,Russia,Mga,urban settlement in Russia,Kirovsky District,12407
Labinsky urban district,Russia,Labinsk,urban settlement in Russia,Labinsky District,61649
Krymskoye Urban Settlement,Russia,Krymsk,urban settlement in Russia,Krymsky District,57485
Verbilki urban settlement,Russia,Verbilki,urban settlement in Russia,Taldomsky District,6896
Ust-Labinsky urban district,Russia,Ust-Labinsk,urban settlement in Russia,Ust-Labinsky District,40687
Kubinka urban settlement,Russia,Kubinka,urban settlement in Russia,Odintsovsky District,23497
Novoivanovskoye urban settlement,Russia,"Skolkovo, Moscow Oblast",urban settlement in Russia,Odintsovsky District,6507
Lesnoy Gorodok urban settlement,Russia,Lesnoy Gorodok,urban settlement in Russia,Odintsovsky District,24670
Yakhroma Settlement,Russia,Fofanovo,urban settlement in Russia,Dmitrovsky District,16245
