col0,col1,col2,col3
Andreotti VI Cabinet,De Mita Cabinet,1989-07-22,Giulio Andreotti
D'Alema II Cabinet,D'Alema I Cabinet,1999-12-22,Massimo D'Alema
Renzi Cabinet,Letta Cabinet,2014-02-21,Matteo Renzi
Prodi II Cabinet,Berlusconi III Cabinet,2006-05-17,Romano Prodi
Prodi I Cabinet,Dini Cabinet,1996-05-17,Romano Prodi
Berlusconi I Cabinet,Ciampi Cabinet,1994-05-10,Silvio Berlusconi
Berlusconi III Cabinet,Berlusconi II Cabinet,2005-04-23,Silvio Berlusconi
Segni I Cabinet,Scelba Cabinet,1955-07-06,Antonio Segni
Leone I Cabinet,Fanfani IV Cabinet,1963-06-21,Giovanni Leone
Leone II Cabinet,Moro III Cabinet,1968-06-24,Giovanni Leone
Cossiga I Cabinet,Andreotti V Cabinet,1979-08-04,Francesco Cossiga
Letta Cabinet,Monti Cabinet,2013-04-28,Enrico Letta
Scelba Cabinet,Fanfani I Cabinet,1954-02-10,Mario Scelba
Spadolini II Cabinet,Spadolini I Cabinet,1982-08-23,Giovanni Spadolini
