col0,col1,col2,col3,col4
Huarte,Uharte,Basque,Latin script,Huarte
Murguía,Murguia,Spanish,Latin script,Murguía
Eizaguirre,Eyzaguirre,Spanish,Latin script,Eizaguirre
Urquijo,Urkixo,Spanish,Latin script,Urquijo
Celaya,Zelaya,Spanish,Latin script,Celaya
Larrain,Larraín,Basque,Latin script,Larraín
Urquiola,Urkiola,Spanish,Latin script,Urquiola
Alaba,Álava,Basque,Latin script,Alaba
Alcedo,Alzedo,Basque,Latin script,Alcedo
Larranaga,Larrañaga,Basque,Latin script,Larrañaga
Barrenechea,Barreneche,Spanish,Latin script,Barrenechea
