col0,col1,col2,col3,col4
Unicorn,Unicorn,Trident Studios,Blue Thumb Records,Tyrannosaurus Rex
A Beard of Stars,A Beard of Stars,Trident Studios,Blue Thumb Records,Tyrannosaurus Rex
Unicorn,Unicorn,Trident Studios,Regal Zonophone,Tyrannosaurus Rex
A Beard of Stars,A Beard of Stars,Trident Studios,Regal Zonophone,Tyrannosaurus Rex
Family Entertainment,Family Entertainment,Olympic Studios,Reprise Records,Family
A Song for Me,A Song for Me,Olympic Studios,Reprise Records,Family
Music in a Doll's House,Music in a Doll's House,Olympic Studios,Reprise Records,Family
Faith,Faith,Roundhouse,Fiction Records,The Cure
The Top,The Top,Trident Studios,Fiction Records,The Cure
Faith,Faith,Trident Studios,Fiction Records,The Cure
Wish,Wish,The Manor Studio,Fiction Records,The Cure
Queen of Time,Queen of Time,Fascination Street Studios,Nuclear Blast,Amorphis
With a Little Help from My Friends,With a Little Help from My Friends,Trident Studios,A&M Records,Neal Morse
Where Angels Fear to Tread,Where Angels Fear to Tread,Criteria Studios,Atlantic Records,Mink DeVille
Electric Warrior,Electric Warrior,Trident Studios,Reprise Records,T. Rex
