col0,col1,col2,col3,col4,col5,col6
Wadi Fira Region,Amdang,Chad,Dar Tama Department,Chad,region of Chad,Biltine
Chari-Baguirmi Region,Ndam,Chad,Loug Chari,Chad,region of Chad,Massenya
Ouaddaï Region,Runga,Chad,Ouara Department,Chad,region of Chad,Abéché
Hadjer-Lamis,Dazaga,Chad,Dagana Department,Chad,region of Chad,Massakory
Mayo-Kebbi Est Region,Kera,Chad,Mont Illi,Chad,region of Chad,Bongor
Wadi Fira Region,Amdang,Chad,Kobé Department,Chad,region of Chad,Biltine
Kanem Region,Dazaga,Chad,Kanem Department,Chad,region of Chad,Mao
Chari-Baguirmi Region,Bagirmi,Chad,Loug Chari,Chad,region of Chad,Massenya
Salamat Region,Gula Iro,Chad,Aboudeïa Department,Chad,region of Chad,Am Timan
Logone Occidental Region,Ngambay,Chad,Dodjé,Chad,region of Chad,Moundou
Batha Region,Amdang,Chad,Fitri Department,Chad,region of Chad,Ati
Moyen-Chari Region,Bua,Chad,Barh Köh,Chad,region of Chad,Sarh
Guéra Region,Fania,Chad,Guéra Department,Chad,region of Chad,"Mongo, Chad"
Mayo-Kebbi Est Region,Moundang,Chad,Mont Illi,Chad,region of Chad,Bongor
Mayo-Kebbi Ouest Region,Peve,Chad,Mayo-Dallah,Chad,region of Chad,Pala
