col0,col1,col2,col3,col4
Cunit,Cunit,Cubelles,Dolors Carreras Casany,flag of Cunit
Subirats,Subirats,Cervelló,Pere Pons i Vendrell,flag of Subirats
Riudecols,Riudecols,Duesaigües,Beatriz Mayordomo Pujol,flag of Riudecols
Mediona,Mediona,Cabrera d'Anoia,Servand Casas Mateo,flag of Mediona
Gelida,Gelida,Castellví de Rosanes,Lluís Miquel Valls Comas,flag of Gelida
Aspa,Aspa,Lleida,M José Invernon Modol,Flag of Aspa
Miralcamp,Miralcamp,Arbeca,Carme Ribes i Llordés,flag of Miralcamp
Fulleda,Fulleda,Senan,Neus Cornet Donet,flag of Fulleda
Serra de Daró,Serra de Daró,Fontanilles,Glòria Marull Coll,flag of Serra de Daró
Palafrugell,Palafrugell,Begur,Josep Piferrer Puig,flag of Palafrugell
La Bisbal d'Empordà,La Bisbal d'Empordà,"Cruïlles, Monells i Sant Sadurní de l'Heura",Enric Marquès Serra,flag of La Bisbal d'Empordà
Torroella de Montgrí,Torroella de Montgrí,L'Escala,Jordi Colomí i Massanas,flag of Torroella de Montgrí
Torrent,Torrent,Forallac,Josep Maria Ros Marull,flag of Torrent (Baix Empordà)
