col0,col1,col2,col3,col4,col5
2014 German International Junior Badminton Championships,open championship,2014 German Junior International Badminton Championships – Men's doubles,WikiProject Badminton/tournament focus list,German International Junior Badminton Championships,badminton
2013 German International Junior Badminton Championships,open championship,2013 German Junior International Badminton Championships – Men's doubles,WikiProject Badminton/tournament focus list,German International Junior Badminton Championships,badminton
2012 German International Junior Badminton Championships,open championship,2012 German Junior International Badminton Championships – Men's doubles,WikiProject Badminton/tournament focus list,German International Junior Badminton Championships,badminton
2011 German International Junior Badminton Championships,open championship,2011 German Junior International Badminton Championships – Men's doubles,WikiProject Badminton/tournament focus list,German International Junior Badminton Championships,badminton
2010 German International Junior Badminton Championships,open championship,2010 German Junior International Badminton Championships – Men's doubles,WikiProject Badminton/tournament focus list,German International Junior Badminton Championships,badminton
2009 German International Junior Badminton Championships,open championship,2009 German Junior International Badminton Championships – Men's doubles,WikiProject Badminton/tournament focus list,German International Junior Badminton Championships,badminton
2008 German International Junior Badminton Championships,open championship,2008 German Junior International Badminton Championships – Men's doubles,WikiProject Badminton/tournament focus list,German International Junior Badminton Championships,badminton
2021 German Junior International Badminton Championships,open championship,2021 German Junior International Badminton Championships – Men's doubles,WikiProject Badminton/tournament focus list,German International Junior Badminton Championships,badminton
2020 German Junior International Badminton Championships,open championship,2020 German Junior International Badminton Championships – Men's doubles,WikiProject Badminton/tournament focus list,German International Junior Badminton Championships,badminton
2019 German International Junior Badminton Championships,open championship,2019 German Junior International Badminton Championships – Men's doubles,WikiProject Badminton/tournament focus list,German International Junior Badminton Championships,badminton
