col0,col1,col2,col3,col4,col5
Hohhot,city with millions of inhabitants,1065,Togtoh County,Inner Mongolia,People's Republic of China
Pingliang,city with millions of inhabitants,1398,Zhuanglang County,Gansu,People's Republic of China
Tianshui,city with millions of inhabitants,1171,Qinzhou District,Gansu,People's Republic of China
Baiyin,city with millions of inhabitants,1698,Jingtai County,Gansu,People's Republic of China
Baotou,big city,1065,"Qingshan District, Baotou",Inner Mongolia,People's Republic of China
Hohhot,big city,1065,Togtoh County,Inner Mongolia,People's Republic of China
Pingliang,big city,1398,Zhuanglang County,Gansu,People's Republic of China
Jiuquan,big city,1483,Suzhou District,Gansu,People's Republic of China
Tianshui,big city,1171,Qinzhou District,Gansu,People's Republic of China
Baiyin,big city,1698,Jingtai County,Gansu,People's Republic of China
