col0,col1,col2,col3,col4
Freak Mother,Nikos Apostolakos,Efi Karakosta,Nelly Poulopoulou,Theater Company Epi Skinis
The corridor,Stergios Tsirliagos,Mania Papadimitriou,George Charalambous,Theater Company Endorfini
Fotochysía Ermoupóleos,Michalis Klapakis,Eleni Georgopoulou,Linos Meitanis,Theater Company Polis
Laurels and Oleanders,Dimitris Karageorgos,Giorgos Nakos,Vangelis Netis,Municipal and Regional Theatre of Ioannina
The Fintanaki,Nikos Mpatsis,Pantelis Papadopoulos,Vangelis Netis,Municipal and Regional Theatre of Ioannina
All My Sons,Anakreon Papageorgiou,Kostas Ntalianis,Vangelis Netis,Municipal and Regional Theatre of Ioannina
O chrisaitos Atis kai i vasilopoula Raogali,Henri Kergomard,Tasos Ratzos,Vasilis Kapsouros,Municipal and Regional Theatre of Ioannina
Freak Mother,Nikos Apostolakos,Efi Karakosta,Nelly Poulopoulou,Nea Skini Technis
Seven Richter,Maria Christina Krithara,Gerasimos Gennatas,Tasos Palaioroutas,Nea Skini Technis
Fotochysía Ermoupóleos,Michalis Klapakis,Eleni Georgopoulou,Linos Meitanis,Nea Skini Technis
