col0,col1,col2,col3,col4
State Police Holmdel Helispot,1970-01-05,State Police Bloomfield heliport,Monmouth County,airport
University of Mississippi Medical Center Airport,1999-01-06,University of Illinois Willard Airport,Hinds County,heliport
Memorial General Hospital Helistop,1971-01-10,Memorial Medical Center heliport,Doña Ana County,heliport
Davis Airstrip,1974-01-06,Davis Airport,Umatilla County,heliport
Cuttyhunk heliport,1992-01-02,Cuttyhunk Harbor Seaplane Base,Bristol County,heliport
University of Alabama Birmingham Airport,1982-01-03,University of Illinois Willard Airport,Alabama,heliport
Tarboro-Edgecombe Airport,1961-01-04,Tarboro-edgecombe Airport,Edgecombe County,heliport
State Police Holmdel Helispot,1970-01-05,State Police Bloomfield heliport,Monmouth County,heliport
Mercy Medical Center heliport,2011-01-06,Mercy Hospital Heliport,Iowa,heliport
University Of Iowa Hospitals & Clinic No2 heliport,1991-01-05,University of Illinois Willard Airport,Iowa,heliport
University Of Iowa Hospitals & Clinic heliport,1982-01-07,University of Illinois Willard Airport,Iowa,heliport
