col0,col1,col2,col3,col4,col5,col6
Nakasongola District,district of Uganda,Uganda,Nakasongola,3737.6,Ruuli,Nakasongola
Kiboga District,district of Uganda,Uganda,Kiboga,4045,Nyoro,Kiboga
Kibaale District,district of Uganda,Uganda,Kibaale,5100.8,Nyoro,Kibaale
Mbale District,district of Uganda,Uganda,Mbale,2467,nyole,Mbale
Kisoro District,district of Uganda,Uganda,Kisoro,701.4,Kinyarwanda,Kisoro
Kitgum District,district of Uganda,Uganda,Kitgum,3960,Acholi dialect,Kitgum
Rukungiri District,district of Uganda,Uganda,Rukungiri,1524.28,Kiga language,Rukungiri
Lira District,district of Uganda,Uganda,Lira,1368.9,Lango dialect,Lira
Ntungamo District,district of Uganda,Uganda,Ntungamo,2051,Runyankole language,Ntungamo
Kamuli District,district of Uganda,Uganda,Kamuli,4301.5,Teso,Kamuli
Kabale District,district of Uganda,Uganda,Kabale,1827,Runyankole language,Kabale
Moyo District,district of Uganda,Uganda,Moyo Town,1800.8,Ma'di,Moyo Town
Kaliro District,district of Uganda,Uganda,Kaliro,1062.7,Soga,Kaliro
Nakapiripirit District,district of Uganda,Uganda,Nakapiripirit,4201.6,Pökoot,Nakapiripirit
