col0,col1,col2,col3,col4
Dalum,2016-01-01,Ulricehamn Municipality,Dalums  parish,Sweden
Dalstorp,2016-01-01,Tranemo Municipality,Dalstorps  parish,Sweden
Dalskog,2016-01-01,Mellerud Municipality,Dalskogs  parish,Sweden
Dals-Ed,2016-01-01,Dals-Ed Municipality,Dals-Eds  parish,Sweden
Dala,2016-01-01,Falköping Municipality,Dala parish,Sweden
Börstig,2016-01-01,Falköping Municipality,Börstigs parish,Sweden
Böne,2016-01-01,Ulricehamn Municipality,Böne parish,Sweden
Böja,2016-01-01,Skövde Municipality,Böja parish,Sweden
Bäve,2016-01-01,Uddevalla Municipality,Bäve parish,Sweden
Bärfendal,2016-01-01,Munkedal Municipality,Bärfendals parish,Sweden
Bäreberg,2016-01-01,Essunga Municipality,Bärebergs parish,Sweden
Bällefors,2016-01-01,Töreboda Municipality,Bällefors parish,Sweden
Bäck,2016-01-01,Töreboda Municipality,Bäcks parish,Sweden
