col0,col1,col2,col3,col4
endothelin 1,Endothelin receptors bind endothelin,Homo sapiens,endothelin B receptor binding,cytoplasm
ghrelin,ghrelin secretion,Homo sapiens,protein binding,cytoplasm
endothelin 1,Endothelin,Homo sapiens,protein binding,transport vesicle
glucagon,The Ligand:GPCR:Gq complex dissociates,Homo sapiens,protein binding,secretory granule lumen
endothelin 1,Endothelin,Homo sapiens,cytokine activity,extracellular region
glucagon,The Ligand:GPCR:Gq complex dissociates,Homo sapiens,glucagon receptor binding,extracellular region
endothelin 1,Endothelin,Homo sapiens,receptor binding,extracellular region
glucagon,The Ligand:GPCR:Gq complex dissociates,Homo sapiens,hormone activity,extracellular region
endothelin 1,Endothelin,Homo sapiens,hormone activity,extracellular region
glucagon,The Ligand:GPCR:Gq complex dissociates,Homo sapiens,protein binding,extracellular region
