col0,col1,col2,col3,col4,col5
Purification and functional characterisation of COMATOSE a peroxisomal ABC transporter from Arabidopsis thaliana,Biotechnology and Biological Sciences Research Council,359444,Rothamsted Research,United Kingdom,research grant
NACNet: New Applications for Cement-type materials Network - Cementing the Future,Engineering and Physical Sciences Research Council,98717,School of Civil Engineering,United Kingdom,research grant
Cryogenic electron microscopy for native state analysis of nanoparticles in liquids,Engineering and Physical Sciences Research Council,196879,School of Chemical and Process Engineering,United Kingdom,research grant
Quasicrystals: how and why do they form?,Engineering and Physical Sciences Research Council,49502,Department of Applied Mathematics,United Kingdom,research grant
Resonances in heteroclinic networks,Engineering and Physical Sciences Research Council,14607,Department of Applied Mathematics,United Kingdom,research grant
Structure of partial difference equations with continuous symmetries and conservation laws,Engineering and Physical Sciences Research Council,255684,Department of Applied Mathematics,United Kingdom,research grant
FastFEM: Behaviour of fast ships in waves,Engineering and Physical Sciences Research Council,147174,Maritime Research Institute Netherlands,United Kingdom,research grant
IMPC: Role of asparagine synthetase in anti-tumour T cell responses,British Medical Research Council,35205,Leeds School of Medicine,United Kingdom,research grant
IMPC: Is Lrg1 an autocrine/paracrine regulator of thermogenesis in brown and beige adipose tissue? Implications for cardiometabolic disease.,British Medical Research Council,40362,Leeds School of Medicine,United Kingdom,research grant
The role of enhancers and transcription factors in the reorganisation of chromatin architecture,Biotechnology and Biological Sciences Research Council,314675,Leeds School of Medicine,United Kingdom,research grant
Innovative fat reduction in chilled products using fresh mayonnaise,Engineering and Physical Sciences Research Council,100262,School of Food Science and Nutrition,United Kingdom,research grant
Quantifying the impact of biomass burning and stratosphere-troposphere exchange on tropospheric ozone using Aura data and 3-D modelling,Natural Environment Research Council,51143,School of Earth and Environment,United Kingdom,research grant
Morphodynamics and sedimentology of the tidally-influenced fluvial zone,Natural Environment Research Council,77065,School of Earth and Environment,United Kingdom,research grant
Uncertainty reduction in Models For Understanding deveLopment Applications,Natural Environment Research Council,225088,Lindsay Stringer,United Kingdom,research grant
