col0,col1,col2,col3,col4
St. Stephen,religious art,De Grey Hours,1401-01-01,parchment
St. Andrew,religious art,De Grey Hours,1401-01-01,parchment
Peter and Paul,religious art,De Grey Hours,1401-01-01,parchment
St. Michael the Archangel,religious art,De Grey Hours,1401-01-01,parchment
The Holy Spirit,religious art,De Grey Hours,1401-01-01,parchment
May- falconer hunting; Gemini,religious art,De Grey Hours,1401-01-01,parchment
The Visitation,religious art,De Grey Hours,1401-01-01,parchment
The Betrayal of Christ,religious art,De Grey Hours,1401-01-01,parchment
April- ecclesiastical procession; Taurus,religious art,De Grey Hours,1401-01-01,parchment
The Annunciation,religious art,De Grey Hours,1401-01-01,parchment
