col0,col1,col2,col3,col4,col5,col6
2015 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2015 Hungarian International Badminton Championships – Men's singles,2014 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1986 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1986 Hungarian International Badminton Championships – Men's singles,1985 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2014 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2014 Hungarian International Badminton Championships – Men's singles,2013 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2013 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2013 Hungarian International Badminton Championships – Men's singles,2012 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1983 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1983 Hungarian International Badminton Championships – Men's singles,1982 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
1980 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,1980 Hungarian International Badminton Championships – Men's singles,1979 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2012 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2012 Hungarian International Badminton Championships – Men's singles,2011 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2011 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2011 Hungarian International Badminton Championships – Men's singles,2010 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2010 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2010 Hungarian International Badminton Championships – Men's singles,2009 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2009 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2009 Hungarian International Badminton Championships – Men's singles,2008 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2008 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2008 Hungarian International Badminton Championships – Men's singles,2007 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2007 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2007 Hungarian International Badminton Championships – Men's singles,2006 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2005 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2005 Hungarian International Badminton Championships – Men's singles,2004 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2004 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2004 Hungarian International Badminton Championships – Men's singles,2003 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
2003 Hungarian International Badminton Championships,WikiProject Badminton/tournament focus list,Hungary,2003 Hungarian International Badminton Championships – Men's singles,2002 Hungarian International Badminton Championships,Hungarian International Badminton Championships,open championship
